"","species","year","data","totalCatch"
"1","Pink",1910,"inpfc",10724528
"2","Pink",1911,"inpfc",22005596
"3","Pink",1912,"inpfc",26398288
"4","Pink",1913,"inpfc",42729893
"5","Pink",1914,"inpfc",16813775
"6","Pink",1915,"inpfc",38809705
"7","Pink",1916,"inpfc",29907248
"8","Pink",1917,"inpfc",56707947
"9","Pink",1918,"inpfc",50116493
"10","Pink",1919,"inpfc",30440181
"11","Pink",1920,"inpfc",40536052
"12","Pink",1921,"inpfc",16146123
"13","Pink",1922,"inpfc",41980924
"14","Pink",1923,"inpfc",56898611
"15","Pink",1924,"inpfc",62190180
"16","Pink",1925,"inpfc",49744926
"17","Pink",1926,"inpfc",67374924
"18","Pink",1927,"inpfc",32494847
"19","Pink",1928,"inpfc",61525317
"20","Pink",1929,"inpfc",54797840
"21","Pink",1930,"inpfc",83235522
"22","Pink",1931,"inpfc",51987728
"23","Pink",1932,"inpfc",39856001
"24","Pink",1933,"inpfc",54348257
"25","Pink",1934,"inpfc",82102862
"26","Pink",1935,"inpfc",63065583
"27","Pink",1936,"inpfc",89562175
"28","Pink",1937,"inpfc",81693277
"29","Pink",1938,"inpfc",61473689
"30","Pink",1939,"inpfc",57038618
"31","Pink",1940,"inpfc",64587056
"32","Pink",1941,"inpfc",86015865
"33","Pink",1942,"inpfc",58523991
"34","Pink",1943,"inpfc",57695724
"35","Pink",1944,"inpfc",44382070
"36","Pink",1945,"inpfc",68132458
"37","Pink",1946,"inpfc",50079741
"38","Pink",1947,"inpfc",56155907
"39","Pink",1948,"inpfc",34263509
"40","Pink",1949,"inpfc",75464962
"41","Pink",1950,"inpfc",26860044
"42","Pink",1951,"npafc",56852260
"43","Pink",1952,"npafc",39723150
"44","Pink",1953,"npafc",31341920
"45","Pink",1954,"npafc",45780940
"46","Pink",1955,"npafc",49649860
"47","Pink",1956,"npafc",52841260
"48","Pink",1957,"npafc",27508230
"49","Pink",1958,"npafc",52198580
"50","Pink",1959,"npafc",21860770
"51","Pink",1960,"npafc",32158610
"52","Pink",1961,"npafc",43011540
"53","Pink",1962,"npafc",87727670
"54","Pink",1963,"npafc",68551300
"55","Pink",1964,"npafc",90581520
"56","Pink",1965,"npafc",40694670
"57","Pink",1966,"npafc",80102600
"58","Pink",1967,"npafc",13118440
"59","Pink",1968,"npafc",89453210
"60","Pink",1969,"npafc",51534760
"61","Pink",1970,"npafc",62294700
"62","Pink",1971,"npafc",47056750
"63","Pink",1972,"npafc",31840770
"64","Pink",1973,"npafc",19601020
"65","Pink",1974,"npafc",19717160
"66","Pink",1975,"npafc",25967540
"67","Pink",1976,"npafc",49501700
"68","Pink",1977,"npafc",57173700
"69","Pink",1978,"npafc",107629260
"70","Pink",1979,"npafc",100271200
"71","Pink",1980,"npafc",126563930
"72","Pink",1981,"npafc",120033290
"73","Pink",1982,"npafc",129656660
"74","Pink",1983,"npafc",120674100
"75","Pink",1984,"npafc",152480530
"76","Pink",1985,"npafc",180679220
"77","Pink",1986,"npafc",154639790
"78","Pink",1987,"npafc",92973780
"79","Pink",1988,"npafc",100715210
"80","Pink",1989,"npafc",193738080
"81","Pink",1990,"npafc",176416460
"82","Pink",1991,"npafc",256678720
"83","Pink",1992,"npafc",121036070
"84","Pink",1993,"npafc",221681060
"85","Pink",1994,"npafc",232699490
"86","Pink",1995,"npafc",259396340
"87","Pink",1996,"npafc",201391010
"88","Pink",1997,"npafc",152333410
"89","Pink",1998,"npafc",211982070
"90","Pink",1999,"npafc",298316440
"91","Pink",2000,"npafc",154840290
"92","Pink",2001,"npafc",263313920
"93","Pink",2002,"npafc",179956550
"94","Pink",2003,"npafc",260442840
"95","Pink",2004,"npafc",202218320
"96","Pink",2005,"npafc",331176810
"97","Pink",2006,"npafc",146420220
"98","Pink",2007,"npafc",295298560
