"","region","species","fishery","year","totalCatch","data"
"1","Alaska","Pink","Commercial",1951,56852260,"npafc"
"2","Alaska","Pink","Commercial",1952,39723150,"npafc"
"3","Alaska","Pink","Commercial",1953,31341920,"npafc"
"4","Alaska","Pink","Commercial",1954,45780940,"npafc"
"5","Alaska","Pink","Commercial",1955,49649860,"npafc"
"6","Alaska","Pink","Commercial",1956,52841260,"npafc"
"7","Alaska","Pink","Commercial",1957,27508230,"npafc"
"8","Alaska","Pink","Commercial",1958,52198580,"npafc"
"9","Alaska","Pink","Commercial",1959,21860770,"npafc"
"10","Alaska","Pink","Commercial",1960,32158610,"npafc"
"11","Alaska","Pink","Commercial",1961,43011540,"npafc"
"12","Alaska","Pink","Commercial",1962,87727670,"npafc"
"13","Alaska","Pink","Commercial",1963,68551300,"npafc"
"14","Alaska","Pink","Commercial",1964,90581520,"npafc"
"15","Alaska","Pink","Commercial",1965,40694670,"npafc"
"16","Alaska","Pink","Commercial",1966,80102600,"npafc"
"17","Alaska","Pink","Commercial",1967,13118440,"npafc"
"18","Alaska","Pink","Commercial",1968,89453210,"npafc"
"19","Alaska","Pink","Commercial",1969,51534760,"npafc"
"20","Alaska","Pink","Commercial",1970,62294700,"npafc"
"21","Alaska","Pink","Commercial",1971,47056750,"npafc"
"22","Alaska","Pink","Commercial",1972,31840770,"npafc"
"23","Alaska","Pink","Commercial",1973,19601020,"npafc"
"24","Alaska","Pink","Commercial",1974,19717160,"npafc"
"25","Alaska","Pink","Commercial",1975,25967540,"npafc"
"26","Alaska","Pink","Commercial",1976,49501700,"npafc"
"27","Alaska","Pink","Commercial",1977,57173700,"npafc"
"28","Alaska","Pink","Commercial",1978,107629260,"npafc"
"29","Alaska","Pink","Commercial",1979,100271200,"npafc"
"30","Alaska","Pink","Commercial",1980,126563930,"npafc"
"31","Alaska","Pink","Commercial",1981,120033290,"npafc"
"32","Alaska","Pink","Commercial",1982,129656660,"npafc"
"33","Alaska","Pink","Commercial",1983,120674100,"npafc"
"34","Alaska","Pink","Commercial",1984,152480530,"npafc"
"35","Alaska","Pink","Commercial",1985,180679220,"npafc"
"36","Alaska","Pink","Commercial",1986,154639790,"npafc"
"37","Alaska","Pink","Commercial",1987,92973780,"npafc"
"38","Alaska","Pink","Commercial",1988,100715210,"npafc"
"39","Alaska","Pink","Commercial",1989,193738080,"npafc"
"40","Alaska","Pink","Commercial",1990,176416460,"npafc"
"41","Alaska","Pink","Commercial",1991,256678720,"npafc"
"42","Alaska","Pink","Commercial",1992,121036070,"npafc"
"43","Alaska","Pink","Commercial",1993,219586490,"npafc"
"44","Alaska","Pink","Commercial",1994,232699290,"npafc"
"45","Alaska","Pink","Commercial",1995,256653510,"npafc"
"46","Alaska","Pink","Commercial",1996,195674540,"npafc"
"47","Alaska","Pink","Commercial",1997,143898240,"npafc"
"48","Alaska","Pink","Commercial",1998,209559090,"npafc"
"49","Alaska","Pink","Commercial",1999,292188610,"npafc"
"50","Alaska","Pink","Commercial",2000,150345560,"npafc"
"51","Alaska","Pink","Commercial",2001,255703170,"npafc"
"52","Alaska","Pink","Commercial",2002,174621690,"npafc"
"53","Alaska","Pink","Commercial",2003,248485540,"npafc"
"54","Alaska","Pink","Commercial",2004,199867580,"npafc"
"55","Alaska","Pink","Commercial",2005,322503820,"npafc"
"56","Alaska","Pink","Commercial",2006,145642670,"npafc"
"57","Alaska","Pink","Commercial",2007,288174400,"npafc"
"58","Alaska","Pink","Commercial",2008,168179230,"npafc"
"59","Alaska","Pink","Commercial",2009,194410920,"npafc"
"60","Alaska","Pink","Commercial",2010,215363970,"npafc"
"61","Alaska","Pink","Commercial",2011,232319650,"npafc"
"62","Alaska","Pink","Commercial",2012,136091170,"npafc"
"63","Alaska","Pink","Commercial",2013,452591840,"npafc"
"64","Alaska","Pink","Commercial",2014,191432110,"npafc"
"65","Alaska","Pink","Commercial",2015,381441160,"npafc"
"66","Alaska","Sockeye","Commercial",1951,19305620,"npafc"
"67","Alaska","Sockeye","Commercial",1952,33858330,"npafc"
"68","Alaska","Sockeye","Commercial",1953,23585290,"npafc"
"69","Alaska","Sockeye","Commercial",1954,19278740,"npafc"
"70","Alaska","Sockeye","Commercial",1955,17421120,"npafc"
"71","Alaska","Sockeye","Commercial",1956,29566720,"npafc"
"72","Alaska","Sockeye","Commercial",1957,19781680,"npafc"
"73","Alaska","Sockeye","Commercial",1958,12208390,"npafc"
"74","Alaska","Sockeye","Commercial",1959,16153140,"npafc"
"75","Alaska","Sockeye","Commercial",1960,35667920,"npafc"
"76","Alaska","Sockeye","Commercial",1961,32162610,"npafc"
"77","Alaska","Sockeye","Commercial",1962,18593370,"npafc"
"78","Alaska","Sockeye","Commercial",1963,12430800,"npafc"
"79","Alaska","Sockeye","Commercial",1964,19932180,"npafc"
"80","Alaska","Sockeye","Commercial",1965,59540980,"npafc"
"81","Alaska","Sockeye","Commercial",1966,30146710,"npafc"
"82","Alaska","Sockeye","Commercial",1967,17152800,"npafc"
"83","Alaska","Sockeye","Commercial",1968,16259310,"npafc"
"84","Alaska","Sockeye","Commercial",1969,22833640,"npafc"
"85","Alaska","Sockeye","Commercial",1970,55267850,"npafc"
"86","Alaska","Sockeye","Commercial",1971,28359230,"npafc"
"87","Alaska","Sockeye","Commercial",1972,13179230,"npafc"
"88","Alaska","Sockeye","Commercial",1973,8980400,"npafc"
"89","Alaska","Sockeye","Commercial",1974,9756660,"npafc"
"90","Alaska","Sockeye","Commercial",1975,14906780,"npafc"
"91","Alaska","Sockeye","Commercial",1976,23566700,"npafc"
"92","Alaska","Sockeye","Commercial",1977,24920240,"npafc"
"93","Alaska","Sockeye","Commercial",1978,36276740,"npafc"
"94","Alaska","Sockeye","Commercial",1979,57445310,"npafc"
"95","Alaska","Sockeye","Commercial",1980,66615210,"npafc"
"96","Alaska","Sockeye","Commercial",1981,72685970,"npafc"
"97","Alaska","Sockeye","Commercial",1982,57663850,"npafc"
"98","Alaska","Sockeye","Commercial",1983,105450980,"npafc"
"99","Alaska","Sockeye","Commercial",1984,76702110,"npafc"
"100","Alaska","Sockeye","Commercial",1985,77968960,"npafc"
"101","Alaska","Sockeye","Commercial",1986,64415070,"npafc"
"102","Alaska","Sockeye","Commercial",1987,70859570,"npafc"
"103","Alaska","Sockeye","Commercial",1988,60076000,"npafc"
"104","Alaska","Sockeye","Commercial",1989,88278940,"npafc"
"105","Alaska","Sockeye","Commercial",1990,105385520,"npafc"
"106","Alaska","Sockeye","Commercial",1991,89293030,"npafc"
"107","Alaska","Sockeye","Commercial",1992,116565020,"npafc"
