"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsCUsLower","ppnYrsCUsUpper","ppnFisheriesOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"lowSynch","TAM",0.05,1,"TAM",1,0.335045981068151,2.62840775715252,0.903710223912085,2.62840775715252,0.903710223912085,6.28155473658878,0.807369534381762,5.61560542322861,1.07174359377991,0,NA,6.28167745146285,0.807386879480098,2.39379109388897,2.42896534739551,0.769794727781111,1.2990476082922,2.42915522940172,0.769744083442591,1.29913307748676,1.85306263905275,0.354413196031496,0.360194049294085,0.95,0.725,0.275,0,0.8,0.225,0.466666666666667,0.243055555555556,0.419444444444444,0,0.166666666666667,0.166666666666667,0.833333333333333,0.556944444444444,3.19794141946893,10.1328841537081,4.04130352154355
"lowSynch","TAM",0.05,1,"TAM",2,0.354197720783555,2.28952593464085,1.29318143562779,2.28952593464085,1.29318143562779,5.48290880572671,1.19632375914825,4.3313788977643,1.38298001395872,0,5.8309518948453,5.48304733356916,1.19594664946332,2.01817801107258,1.78236684172761,1.35584192794021,0.737549104650569,1.78258148741219,1.3557712244611,0.73758756784168,1.44635124567248,0.346562469664868,0.363401053232972,0.925,0.775,0.425,0,0.775,0.229166666666667,0.490277777777778,0.255555555555556,0.388888888888889,0.111111111111111,0.277777777777778,0.166666666666667,0.833333333333333,0.548611111111111,2.28952593464085,6.62683864855823,2.64639641819611
"lowSynch","TAM",0.05,1,"TAM",3,0.320102159951359,3.06469367628811,1.12710407771762,3.06469367628811,1.12710407771762,7.0320307415253,1.15606251835735,6.45173058751901,1.3131629856308,0,NA,7.03223439249132,1.15566967264206,2.32330616082879,2.19857947893786,1.10373499046028,0.906014585605352,2.19878003754624,1.10367603871975,0.906062979459068,1.31509518182188,0.323093411590035,0.359317339922515,0.875,0.775,0.2,0,0.70625,0.223611111111111,0.433333333333333,0.244444444444444,0.363888888888889,0.0555555555555556,0.222222222222222,0.166666666666667,0.833333333333333,0.654166666666667,4.37510852009098,13.015106601684,5.20888781667495
"lowSynch","TAM",0.05,1,"TAM",4,0.364690081182288,2.26879663643117,1.67956279162157,2.26879663643117,1.67956279162157,5.87945212272795,1.38081503079052,5.42913002865205,1.43118313283796,0,NA,5.8796263575137,1.39303728115876,1.64835764034822,2.32897501067381,1.24631603227563,0.802364708551584,2.32916000831554,1.24624145207764,0.802412725345375,1.78209719377569,0.346293510260315,0.364772046380219,0.95,0.85,0.275,0,0.81875,0.198611111111111,0.484722222222222,0.211111111111111,0.381944444444444,0.0555555555555556,0.222222222222222,0.0555555555555556,0.944444444444444,0.504166666666667,2.77977747085182,5.69681585781042,1.92066725175744
"lowSynch","TAM",0.05,1,"TAM",5,0.368204488995041,3.68179105889115,0.707557096482536,3.68179105889115,0.707557096482536,8.332382965933,0.953047482849095,6.47288690431962,1.26574311316155,0,5.8309518948453,8.33249275984786,0.952658531995484,4.86236030436924,2.76154227295867,1.20157921105126,0.832238100328903,2.76173222458096,1.20152655754405,0.832274570812672,3.71042062046006,0.359504443268624,0.33831663159709,1,0.925,0.2,0,0.80625,0.2375,0.455555555555556,0.251388888888889,0.406944444444444,0,0.166666666666667,0.111111111111111,0.888888888888889,0.473611111111111,1.96899163214666,4.80256665823308,2.02484796390953
"lowSynch","TAM",0.05,1,"TAM",6,0.365264398144839,2.5034014702132,1.07159447005307,2.5034014702132,1.07159447005307,6.62863581480038,1.16802083295835,6.20225708414824,1.34472520393318,0,NA,6.62882081211338,1.16888006275706,3.34098454786625,2.71189189571718,1.0317399656746,0.969236467782025,2.71208180792827,1.03169295652132,0.969280631101538,2.78539722185757,0.378682473990768,0.368435849194837,0.95,0.725,0.175,0.05,0.74375,0.229166666666667,0.411111111111111,0.233333333333333,0.334722222222222,0,0.0555555555555556,0.0555555555555556,0.944444444444444,0.580555555555555,1.53169541221885,4.0535247108718,1.88504107521531
"lowSynch","TAM",0.05,1,"TAM",7,0.39487212508737,2.72018684524457,1.07162891583095,2.72018684524457,1.07162891583095,5.64279511189637,1.10250219159262,6.46301098775295,1.2189004316547,0,NA,5.64297511189637,1.10222609738329,2.53604058420551,2.92890247364949,1.41117971735369,0.708626964873933,2.9290972163484,1.41112731471023,0.708653279952522,2.96656706890702,0.37422401362037,0.334562624838868,0.875,0.825,0.175,0.025,0.75,0.25,0.433333333333333,0.220833333333333,0.368055555555556,0.111111111111111,0.111111111111111,0.0555555555555556,0.944444444444444,0.566666666666667,1.58502974335338,3.65645322406053,1.56803339435174
"lowSynch","TAM",0.05,1,"TAM",8,0.384356485858005,1.99626786988355,1.38960653820227,1.99626786988355,1.38960653820227,5.25812026719103,1.16688498934395,4.75670584065847,1.37646827131529,0,5.8309518948453,5.2581554488816,1.16663169886756,1.21415197819514,2.19903238468894,1.05544546703686,0.947467236566451,2.19921238468894,1.0553947192266,0.947512794770103,1.10659240872289,0.384670576341063,0.349238878003296,0.925,0.75,0.325,0,0.79375,0.231944444444444,0.434722222222222,0.206944444444444,0.379166666666667,0,0,0.0555555555555556,0.944444444444444,0.559722222222222,1.51179353764645,3.82804232839609,1.76894370136208
"lowSynch","TAM",0.05,1,"TAM",9,0.394607240184829,2.70334835969008,0.810633559185311,2.70334835969008,0.810633559185311,9.13886160854365,0.721941044822891,5.39180253919945,1.12003042364415,0,5.8309518948453,9.13897513692554,0.722198551236217,2.89728540716209,3.34287905710293,0.782678808074597,1.27766331435499,3.34305905710293,0.782644468758576,1.2777193731225,4.83493725834864,0.384026304187598,0.342704666184475,0.95,0.875,0.375,0,0.825,0.240277777777778,0.473611111111111,0.258333333333333,0.4375,0.111111111111111,0.222222222222222,0.0555555555555556,0.944444444444444,0.488888888888889,2.38382725342845,6.82430318240456,3.29818528570673
"lowSynch","TAM",0.05,1,"TAM",10,0.382142408791993,2.73019678734859,0.706653367403885,2.73019678734859,0.706653367403885,6.56824399863258,0.901655068783205,5.46557227146964,0.981288658010793,0,NA,6.56839859990543,0.901633896016048,3.19450639850223,2.2261311903825,1.28583925343152,0.777702187370075,2.2263111903825,1.28577826911429,0.777739073696468,1.82031682292445,0.339688728383724,0.350387175559184,0.825,0.75,0.2,0,0.7625,0.198611111111111,0.426388888888889,0.234722222222222,0.355555555555556,0,0.111111111111111,0.111111111111111,0.888888888888889,0.545833333333333,3.09544628318673,8.2912215752637,4.48014631451101
