"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsCUsLower","ppnYrsCUsUpper","ppnFisheriesOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"lowSynch","TAM",0.05,1,"TAM",1,0.396952806654202,2.41964211394123,0.412815258014168,2.41964211394123,0.412815258014168,7.56823081560444,0.445888096745446,8.32382523822712,0.33911904075468,0,NA,7.56897322694854,0.445870901034727,2.39754602750866,2.97786594616875,0.58923989996092,1.69710163902058,2.97804594616875,0.589209047400505,1.697190503798,3.15898793038565,0.423114396511564,0.373597943307981,1,0.95,0.75,0,0.9375,0.297222222222222,0.586111111111111,0.330555555555556,0.634722222222222,0.166666666666667,0.333333333333333,0.0555555555555556,0.944444444444444,0.375,2.25195981261516,4.20738649932446,1.23839034723856
"lowSynch","TAM",0.05,1,"TAM",2,0.35809096444286,3.17315124203982,0.726527921311705,3.17315124203982,0.726527921311705,8.24928565746485,0.726781078612119,7.36342242902333,0.780191470297539,0,NA,8.24946565746485,0.726503405210486,3.23883089484596,2.39112684851487,0.958394468752981,1.04341169800485,2.39131184548841,0.958348755279742,1.04346146900154,2.27529658447893,0.37023565806322,0.327852483799865,0.975,0.875,0.875,0.025,0.89375,0.322222222222222,0.640277777777778,0.361111111111111,0.652777777777778,0.111111111111111,0.333333333333333,0,1,0.376388888888889,1.88102834801433,4.87497208999527,2.35602849885482
"lowSynch","TAM",0.05,1,"TAM",3,0.374560591586041,3.17427310355267,0.650163764686451,3.17427310355267,0.650163764686451,8.20171200955343,0.661213465060194,8.26510572499783,0.680825961884175,0,NA,8.20180026308249,0.661176366970763,3.70862202205566,3.10406240950286,0.71747164981437,1.39378329479461,3.10424240950286,0.717439160770993,1.39384641190391,3.58318919039756,0.399071061008365,0.348521251036334,1,0.95,0.875,0.05,0.9375,0.336111111111111,0.634722222222222,0.3625,0.654166666666667,0,0.444444444444444,0,1,0.372222222222222,2.65460067612821,5.93180304943482,2.36962506405967
"lowSynch","TAM",0.05,1,"TAM",4,0.373108533957969,2.77336768692631,0.671694788083644,2.77336768692631,0.671694788083644,8.45603582088987,0.719220858102387,8.91002369539216,0.721526565800227,0,NA,8.45618837632161,0.719063756968347,2.40001675371503,2.9607047928271,0.735855284431695,1.35896285744867,2.9608847928271,0.735817218748759,1.35903316002917,2.96541260170496,0.358576074209886,0.317585668788779,0.975,0.825,0.65,0.025,0.89375,0.293055555555556,0.568055555555556,0.336111111111111,0.594444444444444,0.0555555555555556,0.277777777777778,0,1,0.443055555555556,1.94162706412247,6.05726280272082,2.18905841040913
"lowSynch","TAM",0.05,1,"TAM",5,0.378260796119474,2.60270660321062,0.798950703799112,2.60270660321062,0.798950703799112,7.59850846453489,0.668952824249641,7.95589972511352,0.676806493611762,0,NA,7.60031612312156,0.668269958612127,2.49526686329828,2.916391064878,0.673188544171216,1.48546794008673,2.916571064878,0.673154041201365,1.48554407875992,3.51638004905483,0.371899777469437,0.35009012449868,0.975,0.9,0.575,0.025,0.91875,0.273611111111111,0.559722222222222,0.309722222222222,0.584722222222222,0.0555555555555556,0.333333333333333,0,1,0.420833333333333,2.49007745967743,4.77575825589756,2.16621192243863
"lowSynch","TAM",0.05,1,"TAM",6,0.380856423734671,2.81605076589702,0.660507258056691,2.81605076589702,0.660507258056691,8.23394706586373,0.584355962312342,9.13948729291432,0.541863417907187,0,NA,8.28166863824393,0.584151672527154,3.13591124132196,3.10390411617728,0.574360748430268,1.741066050793,3.10408411617728,0.574330482991063,1.7411577995862,3.14591908980082,0.387755326098798,0.352948043131057,1,0.925,0.775,0.025,0.86875,0.329166666666667,0.623611111111111,0.369444444444444,0.629166666666667,0.111111111111111,0.444444444444444,0,1,0.373611111111111,1.18069807436841,3.5037206746799,1.1315785081538
"lowSynch","TAM",0.05,1,"TAM",7,0.39204392834065,2.65541086890658,0.777869554388534,2.65541086890658,0.777869554388534,7.55300233497516,0.887242353070219,7.21465999144297,0.913854177725359,0,NA,7.6149504135059,0.886025839431452,2.62470627752011,3.08062449267846,0.908899291553702,1.10023190610102,3.08080449267846,0.908857034956778,1.10028306052289,3.25931423191774,0.399347284524063,0.340491364325684,0.95,0.9,0.75,0.075,0.94375,0.331944444444444,0.641666666666667,0.365277777777778,0.672222222222222,0.111111111111111,0.444444444444444,0,1,0.426388888888889,1.47536723752496,4.02250664286255,1.82157276091956
"lowSynch","TAM",0.05,1,"TAM",8,0.394674802856921,3.10178877469521,0.570473134940529,3.10178877469521,0.570473134940529,9.45527301301043,0.543500433211461,11.0999174908305,0.584003718988181,0,NA,9.45526860591323,0.561783539289094,3.18277304235869,3.74287482778487,0.738113254022883,1.35480564066527,3.74305482778487,0.738082273095699,1.35486250849211,3.5305054203309,0.416637171767007,0.37872550921405,1,0.925,0.75,0.1,0.91875,0.330555555555556,0.623611111111111,0.365277777777778,0.626388888888889,0.0555555555555556,0.388888888888889,0,1,0.3125,1.53699778964384,5.10213326657911,2.70288660018767
"lowSynch","TAM",0.05,1,"TAM",9,0.402179860987843,3.20445177047346,0.80418492238896,3.20445177047346,0.80418492238896,8.26807541436936,0.684106025053918,8.34946409451048,0.714214727285901,0,NA,8.26826708183804,0.683983551203738,4.38540234796193,3.14995353365225,0.667196812191047,1.49880812037462,3.15014314100543,0.667165117024144,1.49887932459726,3.91347661957419,0.40836515543763,0.375851586166226,1,0.925,0.675,0.075,0.86875,0.323611111111111,0.595833333333333,0.352777777777778,0.633333333333333,0.111111111111111,0.333333333333333,0.0555555555555556,0.944444444444444,0.338888888888889,1.87090721914649,5.8624013461353,3.03199473841532
"lowSynch","TAM",0.05,1,"TAM",10,0.384144551763952,3.14959440710008,0.665102946250339,3.14959440710008,0.665102946250339,9.08012445416172,0.608828384512682,8.26897923474744,0.713590466451419,0,NA,9.08029980785647,0.60837834033922,3.04220996204844,3.33633199476912,0.714787863037621,1.39901647986903,3.33651199476912,0.71475466738757,1.39908145497672,2.72013482711446,0.389569512449673,0.349460813087365,1,0.95,0.8,0.075,0.9,0.347222222222222,0.620833333333333,0.365277777777778,0.615277777777778,0.166666666666667,0.444444444444444,0,1,0.320833333333333,2.23786066002073,5.51461539318564,2.05113771911884
