"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsCUsLower","ppnYrsCUsUpper","ppnFisheriesOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"medSynch","TAM",0.5,2,"TAM",1,0.402793868377513,2.25828451674009,0.805723123746641,2.25828451674009,0.805723123746641,6.52124690461012,0.883387908895494,6.56115961175486,0.9307408846525,0,NA,6.52142525730444,0.883362380015342,1.84900514676497,2.57327601591878,0.930291807768746,1.07493153400807,2.57345601591878,0.930241841072905,1.07498927251718,2.30970206431967,0.436389725808481,0.377944090480101,0.975,0.85,0.625,0.025,0.91875,0.273611111111111,0.5625,0.334722222222222,0.616666666666667,0.277777777777778,0.333333333333333,0.111111111111111,0.888888888888889,0.444444444444444,2.21261725032708,3.93242639791252,1.08453209101174
"medSynch","TAM",0.5,2,"TAM",2,0.357791051036956,2.42044352359203,0.774492898643318,2.42044352359203,0.774492898643318,7.536422781033,0.836057685092112,5.08766876802618,0.975940483577024,0,NA,7.53645215535884,0.835788419186272,2.32658798163465,2.38335541730217,0.940280989453367,1.06351187699897,2.38353541730217,0.940234556154409,1.06356439832422,2.12886130552204,0.369464581682219,0.318284084102834,0.95,0.85,0.75,0.075,0.88125,0.320833333333333,0.633333333333333,0.356944444444444,0.634722222222222,0.0555555555555556,0.333333333333333,0,1,0.476388888888889,1.60695279630279,4.29330346533991,2.04199863811751
"medSynch","TAM",0.5,2,"TAM",3,0.379962272844412,3.13632623870521,0.744942186492232,3.13632623870521,0.744942186492232,8.50126815744361,0.738181622748183,9.13564963624181,0.821262496435976,0,NA,8.50158244375063,0.738136883559346,3.15986765097264,3.28663969236214,0.741964216088057,1.34777389302198,3.28681969236214,0.741930618788644,1.34783492509408,3.60783682791813,0.379702269560599,0.341569537085099,1,0.95,0.8,0.125,0.94375,0.354166666666667,0.640277777777778,0.405555555555556,0.679166666666667,0,0.333333333333333,0,1,0.373611111111111,3.10982690279276,7.064646732314,2.74771568847345
"medSynch","TAM",0.5,2,"TAM",4,0.356655853397945,2.71539083919966,0.822824453259038,2.71539083919966,0.822824453259038,7.79776105906215,0.833356177659635,6.99574133270323,0.989806448886173,0,NA,7.79768683121676,0.833198113933955,1.88635229848498,2.55730747412445,0.909052282267147,1.10004674044273,2.55748747412445,0.909004811916439,1.10010418744838,1.93902395839834,0.357438629230782,0.322997469272283,0.9,0.825,0.625,0.025,0.86875,0.294444444444444,0.570833333333333,0.344444444444444,0.594444444444444,0.0555555555555556,0.444444444444444,0,1,0.495833333333333,2.22239829320211,6.23684033445325,2.15166303831727
"medSynch","TAM",0.5,2,"TAM",5,0.380060242153341,2.16783708525046,1.08502029600358,2.16783708525046,1.08502029600358,5.74895883347939,0.908612278167047,5.26765645293579,0.960087434460046,0,NA,5.74912285680911,0.907795458866399,1.5934596536699,2.08257459005001,0.765159636912827,1.30691682069728,2.08275958002142,0.765109290143,1.3070028202286,2.09105549945205,0.39530222730674,0.343338616417868,0.975,0.875,0.525,0,0.89375,0.220833333333333,0.530555555555556,0.281944444444444,0.583333333333333,0,0.444444444444444,0.0555555555555556,0.944444444444444,0.486111111111111,2.13751493136151,4.02782556995279,1.54833151364276
"medSynch","TAM",0.5,2,"TAM",6,0.369726338092887,2.32979818776913,0.579092712588788,2.32979818776913,0.579092712588788,6.85264215262058,0.56951759706842,7.07478149497033,0.5794713816999,0,NA,6.85272867991922,0.569563291154962,2.63073574465735,2.5285787407105,0.636372745004629,1.57140607898399,2.5287587407105,0.636335071295281,1.57149911282505,2.76068158883811,0.379437068378144,0.352189507881099,1,0.85,0.725,0.075,0.8625,0.304166666666667,0.6,0.365277777777778,0.618055555555556,0.111111111111111,0.444444444444444,0,1,0.420833333333333,1.1114329152907,3.23911752864133,1.09721805921944
"medSynch","TAM",0.5,2,"TAM",7,0.388522300457347,2.27231807142097,0.882220010891516,2.27231807142097,0.882220010891516,6.0713868735236,1.00242599737717,6.35921159989478,1.12755694425303,0,NA,6.0712244052657,1.00227055757306,2.24933969842694,2.57891751521749,1.00196997488764,0.998033898283368,2.57909751521749,1.00192652591995,0.998077178445609,2.48016657554298,0.402711588221017,0.354743567808438,0.95,0.875,0.7,0.15,0.925,0.319444444444444,0.641666666666667,0.347222222222222,0.654166666666667,0.0555555555555556,0.388888888888889,0,1,0.402777777777778,1.47599434047491,4.03627396920935,1.82660474080146
"medSynch","TAM",0.5,2,"TAM",8,0.392224105660567,2.80714138818306,0.711159566186785,2.80714138818306,0.711159566186785,8.32096754198808,0.624898261322453,9.50044309001766,0.716967701968821,0,NA,8.32110085581053,0.639922507001525,3.22387830661476,3.12866087551063,0.701515284557135,1.42548569078049,3.12884087551063,0.70148454700995,1.4255481525038,3.51274052644785,0.419821190094649,0.37787933391514,1,0.925,0.775,0.175,0.91875,0.347222222222222,0.631944444444444,0.369444444444444,0.629166666666667,0.0555555555555556,0.5,0,1,0.338888888888889,1.33165150966696,4.41476209160852,2.37152134477982
"medSynch","TAM",0.5,2,"TAM",9,0.394873787918789,2.83455641734893,0.829777824644559,2.83455641734893,0.829777824644559,7.17467452528107,0.800052560295366,6.96450223258877,0.841941603691596,0,NA,7.17482316069165,0.799770938556893,3.03896871992,3.20331746027804,0.975557336084496,1.02505507673553,3.20350739106402,0.975512548120218,1.02510213930817,3.4546023676443,0.402522167400407,0.372700749388251,0.975,0.9,0.675,0.1,0.875,0.322222222222222,0.6,0.354166666666667,0.636111111111111,0.111111111111111,0.388888888888889,0.0555555555555556,0.944444444444444,0.313888888888889,1.7101461876757,4.92085508192709,2.41585015306757
"medSynch","TAM",0.5,2,"TAM",10,0.382010929213188,2.40428179202687,0.798959417839438,2.40428179202687,0.798959417839438,7.87032254006474,0.752027917087211,7.14542091349769,0.920465726972618,0,NA,7.87049034462036,0.749967945310192,2.35930832309548,2.69558650161131,0.85157963246381,1.17428830126758,2.69576650161131,0.85153732322242,1.17434664662233,2.10093268089904,0.36718366635729,0.34534970543608,0.975,0.875,0.725,0.1,0.89375,0.336111111111111,0.602777777777778,0.352777777777778,0.608333333333333,0.166666666666667,0.444444444444444,0,1,0.344444444444444,2.13036275780411,5.34755796220092,2.00777722024317
