"entryYr","yr","stk","prod","ets","pinkCatch","soxCatch","pc2","pc2Prime","sst","sstPrime","pdoPrime","pdo","npgo","npgoPrime","ALPI"
1948,1950,1,1.5159636539373,0.053069,19974002,14374000,0.7174285,1.03326975,8.05403114035088,6.30022894736842,-1.5825,-1.81,-0.766666666666667,-0.76,-1.93
1949,1951,1,1.19008025026286,0.052825,56852260,19305620,0.6478665,0.89307975,8.49974692982456,6.35879473684211,-0.9,-0.769166666666667,-0.96,-0.91,-1.83
1950,1952,1,1.15834072639871,0.027821,39723150,33858330,0.8287015,1.360609,8.39068421052632,6.45325657894737,-1.0275,-0.865833333333333,-0.64,-0.675,-2.87
1951,1953,1,1.37252907531306,0.137097,31341920,23585290,-0.293140666666667,-0.40295,8.40827324561404,6.58963289473684,-0.0875,-0.156666666666667,1.0825,1.2,2.2
1952,1954,1,1.50987960746145,0.034427,45780940,19278740,-0.0640175,0.0970695,8.50023070175439,6.50329078947368,-0.2175,-0.290833333333333,0.206666666666667,-0.0675,-2.32
1953,1955,1,2.59417035678748,0.002052,49649860,17421120,0.60204975,0.41691725,8.19854122807017,6.39219473684211,-1.72,-1.94833333333333,-0.0758333333333333,0.015,-2.62
1954,1956,1,1.47066559527262,0.024684,52841260,29566720,0.695884666666667,0.60312625,8.2941298245614,6.52609078947368,-1.96,-1.80416666666667,0.0683333333333333,0.1475,-4.68
1955,1957,1,1.65857328463169,0.232256,27508230,19781680,0.718662666666667,1.38341775,9.27612280701754,7.50844473684211,0.445,0.2275,-1.14916666666667,-1.2025,-1.6
1956,1958,1,1.01733711854218,0.037279,52198580,12208390,-0.732347916666667,-0.50357175,8.99038771929825,7.66192368421053,0.98,0.643333333333333,-0.546666666666667,-0.86,2.12
1957,1959,1,2.08652198452475,0.002586,21860770,16153140,-0.2245305,-0.28601875,8.68709956140351,6.98430131578947,-0.075,-0.0266666666666667,-0.204166666666667,-0.4125,-2.16
1958,1960,1,1.78862207446032,0.012397,32158610,35667920,-1.01624241666667,-1.19397875,8.37283421052632,6.56652763157895,0.3575,0.0575,0.7475,0.72,-0.35
1959,1961,1,0.462941268071636,0.16048,43011540,32162610,-0.374517,-1.17328925,8.58871535087719,6.78894473684211,-0.06,-0.8175,0.97,1.3275,2.92
1960,1962,1,1.06469444450978,0.025398,87727670,18593370,0.819535833333333,0.99415825,8.76547850877193,7.01773026315789,-1.265,-1.15833333333333,-0.0933333333333333,-0.53,-1.63
1961,1963,1,3.11461256806543,0.004109,68551300,12430800,0.7484985,1.166909,9.04136622807018,7.3499,-0.62,-0.685833333333333,-0.235,-0.765,2.32
