manUnit,year,midDate,preForecast,midForecast,postForecast,midTAC,postTAC,midCatch,postCatch_manTable
EStu,2005,16-Jul,258000,130000,210000,0,0,NA,NA
ESumm,2005,20-Aug,718000,375000,775000,0,35100,NA,NA
Lat,2005,23-Aug,524000,593000,837000,127700,185700,NA,NA
Summ,2005,23-Aug,11048000,5000000,7000000,1024200,2451200,NA,NA
EStu,2006,07-Jul,84000,84000,70000,0,0,600,7200
ESumm,2006,09-Aug,1303000,1700000,1450000,602800,498800,546300,820900
Lat,2006,20-Aug,8812000,10562000,5195000,4433200,1757900,2130500,3185800
Summ,2006,14-Aug,7158000,4020000,2000000,1925500,0,634900,1271200
EStu,2007,01-Jul,45000,13000,13000,0,0,400,800
ESumm,2007,04-Aug,690000,150000,155000,0,0,5600,21600
Lat,2007,11-Aug,2143000,827000,610000,25200,0,6800,58000
Summ,2007,06-Aug,3369000,1261000,650000,326700,0,13700,143600
EStu,2008,28-Jun,35000,35000,40000,0,0,400,3000
ESumm,2008,15-Jul,349000,500000,450000,58600,150400,3400,131900
Lat,2008,31-Jul,705000,369000,245000,64300,35400,12600,42800
Summ,2008,25-Jul,1810000,1182000,980000,359400,159500,90300,387800
EStu,2009,29-Jun,165000,165000,85000,0,0,773,8597
ESumm,2009,30-Jul,739000,150000,175000,0,0,9354,18545
Lat,2009,10-Aug,907000,907000,460000,138400,0,5807,19941
Summ,2009,04-Aug,8677000,8677000,650000,4813200,0,13409,58445
EStu,2010,05-Jul,41000,41000,105000,0,0,1000,6080
ESumm,2010,09-Aug,783300,1600000,3800000,358800,1666200,110270,1240520
Lat,2010,22-Aug,8003000,17241000,25441000,7781000,11550100,1939580,10052340
Summ,2010,15-Aug,2612000,3000000,5200000,1256500,2808000,442390,2347520
EStu,2011,02-Jul,17000,22000,25000,0,0,180,1890
ESumm,2011,04-Aug,453000,453000,571000,135400,199700,33220,194650
Lat,2011,15-Aug,1207000,1475000,2925000,375900,1219100,249840,649900
Summ,2011,10-Aug,1500000,2000000,1556000,925000,658600,226300,784870
EStu,2012,04-Jul,99000,99000,185000,0,0,800,9100
ESumm,2012,16-Jul,277000,277000,530000,100,111100,1500,78100
Lat,2012,05-Aug,158000,158000,260000,0,0,13300,48100
Summ,2012,02-Aug,1585000,1585000,1300000,558400,298500,97800,490500
EStu,2013,02-Jul,211000,211000,182000,0,0,134,6100
ESumm,2013,24-Jul,253000,253000,550000,19300,86400,4800,53200
Lat,2013,17-Aug,583000,583000,600000,0,0,36100,49500
Summ,2013,10-Aug,3718000,2000000,2400000,0,0,274000,398200
EStu,2014,09-Jul,299000,299000,233500,0,0,1500,25600
ESumm,2014,08-Aug,4126000,1800000,1900000,819200,871900,292200,810500
Lat,2014,26-Aug,12730000,12730000,9600000,6821600,5699900,1601700,5393700
Summ,2014,18-Aug,5699000,6300000,8150000,3599100,4655600,1676400,4500500
EStu,2015,06-Jul,16000,16000,32100,0,0,0,800
ESumm,2015,30-Jul,837000,837000,373000,114600,0,2300,44900
Lat,2015,21-Aug,1236000,419000,165800,0,0,5700,9400
Summ,2015,11-Aug,4675000,1701000,1549200,181100,0,79300,212200
EStu,2016,03-Jul,36000,36000,18000,0,0,100,1600
ESumm,2016,20-Jul,447000,447000,240000,79200,0,1600,26300
Lat,2016,08-Aug,111000,75000,70000,0,0,4400,6200
Summ,2016,31-Jul,1677000,1677000,528000,536500,0,5100,113200
EStu,2017,04-Jul,99000,99000,47000,0,0,120,2790
ESumm,2017,04-Aug,343000,166000,165000,0,0,890,3320
Lat,2017,16-Aug,583000,247000,231000,0,0,360,6820
Summ,2017,11-Aug,3407000,1250000,1044000,0,0,6160,71930
