manUnit,stkName,stk,cuSimName,model,domCycle,usER,minER,tauCycAge,alpha,beta0,sigma,larkAlpha,larkBeta0,larkBeta1,larkBeta2,larkBeta3,larkSigma,meanRec2,meanRec3,meanRec4,meanRec5,meanRec6,medianRec,lowQRec,highQRec,meanDBE,sdDBE,medMA,meanForecast,sdForecast
Summ,Stellako,3,test,ricker,NA,0.165,0.1,0.75,1.201,3.951,0.8234,2.611,3.554,1.64,0.64315,5.2285,0.68825,0,0.000969123,0.845145264,0.153885612,0,0.3064765,0.18293825,0.63184625,0.087538288,0.297677042,0.152984277,1.123742814,0.45361441
ESumm,Bowron,4,test,ricker,NA,0.165,0.1,1.7,1.068,24.77,0.8028,1.844,27.88,5.9295,8.551,4.5585,0.854,0,0.001012669,0.848242483,0.150744848,0,0.0212625,0.01300825,0.04336375,0.411287344,0.17674031,0.637333717,0.863227093,0.452244873
Summ,Raft,5,test,ricker,NA,0.165,0.1,0.9,1.505,21.065,0.7862,1.751,18.28,4.9555,13.925,9.4785,0.7947,0,0.002245351,0.746056386,0.251698263,0,0.0233325,0.00958675,0.047736928,0.55404385,0.255442547,0.152984277,1.123742814,0.45361441
Summ,Chilko,7,test,ricker,NA,0.165,0.1,0.7,1.933,1.233,0.79075,2.258,0.9821,0.724,0.42335,0.23065,0.7778,0,0.011027463,0.932670899,0.056301638,0,1.1907915,0.5259755,1.82798225,0.087538288,0.297677042,0.152984277,1.123742814,0.45361441
Lat,Birkenhead,10,test,ricker,NA,0.165,0.2,0.725,0.93815,6.7445,0.97255,2.263,5.821,2.836,0.83125,1.102,0.99645,0,0.066414547,0.667259465,0.266325988,0,0.2321985,0.10849125,0.44658625,0.224119378,0.26350098,1.727281766,0.917764722,0.299708196
Lat,Cultus,11,test,ricker,NA,0.165,0.2,1.2,0.7142,16.425,1.173,1.4905,14.99,7.5715,8.372,6.678,1.25,0,0.038576346,0.928338112,0.033085542,0,0.0181045,0.002646055,0.047068,0.596922562,0.288392456,1.727281766,0.917764722,0.299708196
Lat,Portage,12,test,ricker,NA,0.165,0.2,2.2,0.92085,36.15,1.11,2.8495,41.75,56.535,16.23,17.805,1.069,0,0.020967303,0.934085748,0.044946949,0,0.025171,0.012058696,0.0552285,0.596922562,0.288392456,1.727281766,0.917764722,0.299708196
Lat,Weaver,13,test,ricker,NA,0.165,0.2,0.7,1.5485,5.564,0.89895,2.642,5.613,2.362,1.2425,4.4685,0.8979,0,0.008403845,0.845703853,0.145892302,0,0.244448455,0.14393025,0.3838825,0.596922562,0.288392456,1.727281766,0.917764722,0.299708196
ESumm,Fennell,14,test,ricker,NA,0.165,0.1,1.625,1.552,98.92,0.9425,2.5205,72.915,32.13,24.025,20.63,0.93595,0,0.003352593,0.834347208,0.162300199,0,0.015029,0.008579218,0.03603,0.411287344,0.17674031,0.637333717,0.863227093,0.452244873
ESumm,Nadina,17,test,ricker,NA,0.165,0.1,1.275,1.449,5.8505,0.85695,1.701,6.5495,4.068,3.5995,5.847,0.89515,0,0.00071664,0.839701487,0.159581873,0,0.046853,0.015972002,0.098749,0.411287344,0.17674031,0.637333717,0.863227093,0.452244873
ESumm,Upper Pitt,18,test,ricker,NA,0.165,0.1,0.675,1.649,22.485,0.758,1.802,12.7,4.505,10.73,3.323,0.7337,0,0.000441916,0.307868244,0.691689841,0,0.0614125,0.03406225,0.1013135,0.037008151,0.471549273,0.637333717,0.863227093,0.452244873
Summ,Harrison,19,test,ricker,NA,0.165,0.1,1.1,2.243,2.6485,1.381,1.5965,2.0385,0.92445,1.214,1.366,1.465,0.001467269,0.424013895,0.574518836,0,0,0.041545,0.017811,0.087825,0.257298427,0.480988177,0.152984277,1.123742814,0.45361441
