"stk","yr","marCatch","frfnCatch","totalCatch","totalRun"
1,1952,0.148777,0.006507,0.155284,0.185496
1,1953,0.866724,0.027418,0.894142,1.048178
1,1954,0.198093,0.008673,0.206766,0.241816
1,1955,0.13797,0.001355,0.139325,0.15897
1,1956,0.065136,0.003073,0.068209,0.093229
1,1957,0.289469,0.023952,0.313421,0.548271
1,1958,0.114393,0.004467,0.11886,0.157667
1,1959,0.023336,0.000519,0.023855,0.026525
1,1960,0.063432,0.004128,0.06756,0.102667
1,1961,0.996024,0.030177,1.026201,1.225122
1,1962,0.075185,0.006631,0.081816,0.108532
1,1963,0.008646,0.001669,0.010315,0.014922
1,1964,0.033303,0.010769,0.044072,0.076078
1,1965,0.225473,0.007807,0.23328,0.256325
1,1966,0.055621,0.004299,0.05992,0.07075
1,1967,0.074337,0.00314,0.077477,0.098521
1,1968,0.013715,0.012528,0.026243,0.027765
1,1969,0.268776,0.052742,0.321518,0.431173
1,1970,0.027397,0.02278,0.050177,0.084566
1,1971,0.180541,0.049661,0.230202,0.326142
1,1972,0.011963,0.00692,0.018883,0.02354
1,1973,1.01577,0.050519,1.066289,1.366181
1,1974,0.102737,0.044666,0.147403,0.186921
1,1975,0.288427,0.057026,0.345453,0.426202
1,1976,0.011622,0.016213,0.027835,0.039596
1,1977,1.131897,0.093114,1.225011,1.342456
1,1978,0.036769,0.059502,0.096271,0.146275
1,1979,0.061075,0.068881,0.129956,0.222702
1,1980,0.007124,0.007665,0.014789,0.031728
1,1981,0.486469,0.139575,0.626044,0.755501
1,1982,0.019885,0.047361,0.067246,0.080125
1,1983,0.012278,0.054843,0.067121,0.090988
1,1984,0.001555,0.009289,0.010844,0.056045
1,1985,0.044883,0.077428,0.122311,0.35683
1,1986,0.003162,0.013854,0.017016,0.0456
1,1987,0.007188,0.022385,0.029573,0.177767
1,1988,0.013365,0.028403,0.041768,0.221575
1,1989,0.627746,0.199254,0.827,1.211799
1,1990,0.005746,0.052084,0.05783,0.154865
1,1991,0.18294,0.188394,0.371334,0.512453
1,1992,0.00678,0.164529,0.171309,0.350407
1,1993,0.208617,0.255059,0.463676,1.151643
1,1994,0.00616,0.040254,0.046414,0.204245
1,1995,0.009246,0.006209,0.015455,0.138165
1,1996,0.005405,0.002576,0.007981,0.09555
1,1997,0.366773,0.404934,0.771707,1.671735
1,1998,0.005993,0.015027,0.02102,0.189759
1,1999,0.00447,0.022334,0.026804,0.171629
1,2000,0.01145,0.214508,0.225958,0.378192
1,2001,0.004942,0.038338,0.04328,0.214186
1,2002,0.001277,0.00444,0.005717,0.062663
1,2003,0.000692,0.000469,0.001161,0.030275
1,2004,0.004922,0.035483,0.040756,0.1371
1,2005,0.003716,0.01777,0.021495,0.219696
1,2006,0.001707,0.005919,0.007626,0.055782
1,2007,6.7e-05,0.000904,0.000971,0.012729
1,2008,0.000446,0.003692,0.004139,0.034006
1,2009,0.002287,0.006995,0.009297,0.081197
1,2010,0.003378,0.002827,0.006235,0.10498
1,2011,0.000315,0.001856,0.002179,0.021104
1,2012,0.001813,0.007205,0.009076,0.183942
1,2013,0.002123,0.009432,0.011555,0.182119
1,2014,0.002984,0.022912,0.025898,0.221926
1,2015,0.000241,0.000577,0.000818,0.028738
2,1952,0.000265,2.7e-05,0.000292,0.000327
2,1953,1.13372,0.0242,1.15792,1.526554
2,1954,0.030634,0.000782,0.031416,0.036886
2,1955,0.048511,0.002411,0.050922,0.058504
2,1956,0.00967,0.001,0.01067,0.011583
2,1957,0.994449,0.022544,1.016993,1.548101
2,1958,0.111577,0.003252,0.114829,0.138448
2,1959,0.044212,0.000463,0.044675,0.0529
2,1960,0.011824,0.000372,0.012196,0.014592
2,1961,0.903964,0.044873,0.948837,1.359724
2,1962,0.031552,0.004765,0.036317,0.05496
2,1963,0.00342,0.000411,0.003831,0.007053
2,1964,0.005605,0.000675,0.00628,0.007891
2,1965,0.525528,0.032846,0.558374,0.773317
2,1966,0.040766,0.001264,0.04203,0.051057
2,1967,0.011904,0.000295,0.012199,0.013828
2,1968,0.001412,0.000118,0.00153,0.001919
2,1969,0.858782,0.037887,0.896669,1.103683
2,1970,0.076071,0.002748,0.078819,0.093797
2,1971,0.006138,0.000472,0.00661,0.008145
2,1972,0.026252,0.003838,0.03009,0.037431
2,1973,1.359027,0.033541,1.392568,1.606798
2,1974,0.068143,0.008075,0.076218,0.090408
2,1975,0.044446,0.006852,0.051298,0.065527
2,1976,0.011772,0.00151,0.013282,0.01618
2,1977,0.493646,0.02064,0.514286,0.660745
2,1978,0.03943,0.004075,0.043505,0.056243
2,1979,0.175707,0.007739,0.183446,0.215364
2,1980,0.002292,0.00055,0.002842,0.003817
2,1981,0.998031,0.066336,1.064367,1.313861
