scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,canER,usER,propMixHigh,propMixLow,varyAllocation,prodRegime,startYear,endYear,freqSkew,rho,correlCU,corrMat,adjustSig,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,lowCatchThresh,highCatchThresh,extinctThresh
lowSig,lowSynch,TAM,synch,1,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
lowSig,medSynch,TAM,synch,2,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
lowSig,highSynch,TAM,synch,3,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSig,lowSynch,TAM,synch,1,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSig,medSynch,TAM,synch,2,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSig,highSynch,TAM,synch,3,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSig,lowSynch,TAM,synch,1,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSig,medSynch,TAM,synch,2,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSig,highSynch,TAM,synch,3,sockeye,40,TAM,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
lowSigSkew,lowSynch,TAM,synch,1,sockeye,40,TAM,NA,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.05,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
