scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,enRouteMort,constrain,singleHCR,moveTAC,prodRegime,startYear,endYear,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRouteSig
lowSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
lowSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
lowSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
medSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
medSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
medSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
highSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
highSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
highSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
lowSigSkew,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,skew,NA,NA,0.2,TRUE,0,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigSkew,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,skew,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigSkew,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,skew,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
