"stk","yr","cyc","rec2","rec3","rec4","rec5","rec","eff","juv","ets","prod","model","eff1","eff2","eff3"
1,1951,3,0,9e-06,0.158428,0.015217,0.173645,0.029785,NA,0.052825,1.76300807414465,"larkin",0.025658,0.168458,0.010859
1,1952,4,0,2.8e-05,0.078012,0.01056,0.088572,0.015484,NA,0.027821,1.74400854786051,"larkin",0.029785,0.025658,0.168458
1,1953,1,0,0.000294,0.537711,0.002886,0.540597,0.078238,NA,0.137097,1.93291862140973,"larkin",0.015484,0.029785,0.025658
1,1954,2,0,0.000341,0.154781,0.000701,0.155482,0.01801,NA,0.034427,2.15560281010421,"larkin",0.078238,0.015484,0.029785
1,1955,3,0,1.1e-05,0.025824,0.001632,0.027456,0.001397,NA,0.002052,2.97825764303073,"larkin",0.01801,0.078238,0.015484
1,1956,4,0,0,0.101035,0.006393,0.107428,0.016661,NA,0.024684,1.86375019678451,"larkin",0.001397,0.01801,0.078238
1,1957,1,0,0.00073,1.215763,0.003272,1.219035,0.119273,NA,0.232256,2.32439985783974,"larkin",0.016661,0.001397,0.01801
1,1958,2,0,0.000755,0.102112,0.00024,0.102352,0.022196,NA,0.037279,1.52850576024413,"larkin",0.119273,0.016661,0.001397
1,1959,3,0,0,0.014682,0.006153,0.020835,0.001297,NA,0.002586,2.77658035954011,"larkin",0.022196,0.119273,0.016661
1,1960,4,0,2.2e-05,0.069925,0.004202,0.074127,0.007401,NA,0.012397,2.30416471218882,"larkin",0.001297,0.022196,0.119273
1,1961,1,0,0.00063,0.252123,0.002208,0.254331,0.087782,NA,0.16048,1.06378010002849,"larkin",0.007401,0.001297,0.022196
1,1962,2,0,0,0.067661,0.005992,0.073653,0.014103,NA,0.025398,1.65297733456652,"larkin",0.087782,0.007401,0.001297
1,1963,3,0,0.000332,0.090397,0.001825,0.092222,0.00259,NA,0.004109,3.57254083810152,"larkin",0.014103,0.087782,0.007401
1,1964,4,0,0.001027,0.02594,0.012949,0.038889,0.0013,NA,0.002319,3.39834716981852,"larkin",0.00259,0.014103,0.087782
1,1965,1,0,0.000432,0.415253,0.001526,0.416779,0.011241,NA,0.018543,3.61298829681303,"larkin",0.0013,0.00259,0.014103
1,1966,2,0,0.001746,0.08304,0,0.08304,0.005959,NA,0.01009,2.63441973765274,"larkin",0.011241,0.0013,0.00259
1,1967,3,0,0.000423,0.326142,0.013128,0.33927,0.011167,NA,0.019949,3.41383325008769,"larkin",0.005959,0.011241,0.0013
1,1968,4,0,1.1e-05,0.010412,0,0.010412,0.000793,NA,0.00134,2.57489104447961,"larkin",0.011167,0.005959,0.011241
1,1969,1,0,0.000648,1.366181,0.004452,1.370633,0.048796,NA,0.089746,3.33537961362193,"larkin",0.000793,0.011167,0.005959
1,1970,2,0,0.001212,0.178232,0.001312,0.179544,0.015806,NA,0.028206,2.43003068845543,"larkin",0.048796,0.000793,0.011167
1,1971,3,0,0.000311,0.42351,0.006993,0.430503,0.04561,NA,0.08544,2.24482730176101,"larkin",0.015806,0.048796,0.000793
