"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"1","low","Reference Prod.","medRecRY","0.75","high",8.35913188034603,6.54569481756111,10.6648223914146
"2","low","Reference Prod.","medRecRY","0.05","low",9.10037166772102,7.52104439567452,10.6711136169971
"3","low","Reference Prod.","medRecRY","0.5","med",8.57935257810509,6.87220482698918,10.6484526520619
"4","low","Reference Prod.","ppnCUUpper","0.75","high",0.400694444444445,0.341597222222223,0.466666666666667
"5","low","Reference Prod.","ppnCUUpper","0.05","low",0.4,0.365277777777778,0.434722222222222
"6","low","Reference Prod.","ppnCUUpper","0.5","med",0.401388888888889,0.351388888888889,0.454166666666667
"7","low","Reference Prod.","ppnCUExtant","0.75","high",1,1,1
"8","low","Reference Prod.","ppnCUExtant","0.05","low",1,1,1
"9","low","Reference Prod.","ppnCUExtant","0.5","med",1,1,1
"10","low","Reference Prod.","medCatch","0.75","high",3.06733070759326,2.27550371645436,3.94776264859349
"11","low","Reference Prod.","medCatch","0.05","low",3.32170128836855,2.73594944845387,3.97824892852919
"12","low","Reference Prod.","medCatch","0.5","med",3.11995773354891,2.46820746488974,3.98024645060103
"13","low","Reference Prod.","ppnYrsHighCatch","0.75","high",0.925,0.85,0.95
"14","low","Reference Prod.","ppnYrsHighCatch","0.05","low",0.95,0.925,0.975
"15","low","Reference Prod.","ppnYrsHighCatch","0.5","med",0.925,0.875,0.975
"16","low","Reference Prod.","stabilityCatch","0.75","high",1.3677414223767,0.982502079644297,1.79823889313462
"17","low","Reference Prod.","stabilityCatch","0.05","low",1.72745804660956,1.26508559109199,2.14181917375711
"18","low","Reference Prod.","stabilityCatch","0.5","med",1.47073370015808,1.07615644246813,1.88377487491272
"19","med","Reference Prod.","medRecRY","0.75","high",8.20770363325006,5.76129120400855,11.2306542322533
"20","med","Reference Prod.","medRecRY","0.05","low",9.44441345343563,7.75322672811777,11.0761091268692
"21","med","Reference Prod.","medRecRY","0.5","med",8.77129416326845,6.65276246065853,11.4742163276656
"22","med","Reference Prod.","ppnCUUpper","0.75","high",0.391666666666667,0.313888888888889,0.461111111111111
"23","med","Reference Prod.","ppnCUUpper","0.05","low",0.386111111111111,0.352777777777778,0.422291666666666
"24","med","Reference Prod.","ppnCUUpper","0.5","med",0.393055555555556,0.324930555555556,0.455555555555556
"25","med","Reference Prod.","ppnCUExtant","0.75","high",1,1,1
"26","med","Reference Prod.","ppnCUExtant","0.05","low",1,1,1
"27","med","Reference Prod.","ppnCUExtant","0.5","med",1,1,1
"28","med","Reference Prod.","medCatch","0.75","high",2.99422979165344,1.9381819471403,4.23036547473845
"29","med","Reference Prod.","medCatch","0.05","low",3.38311716603639,2.74562225190859,4.0779309279062
"30","med","Reference Prod.","medCatch","0.5","med",3.18637677843963,2.32656677130354,4.33044221432148
"31","med","Reference Prod.","ppnYrsHighCatch","0.75","high",0.9,0.775,0.95
"32","med","Reference Prod.","ppnYrsHighCatch","0.05","low",0.95,0.9,0.975
"33","med","Reference Prod.","ppnYrsHighCatch","0.5","med",0.925,0.85,0.95
