"sigma","om","var","synch","medn","lowQ","highQ"
"low","Reference Prod.","medRecRY","high",8.30700625115034,6.3211335739814,10.5466203077659
"low","Reference Prod.","medRecRY","low",8.84988074594238,7.54569983662014,10.3014523877332
"low","Reference Prod.","medRecRY","med",8.49491304395433,6.72526842743953,10.4801797728698
"low","Reference Prod.","ppnCUUpper","high",0.401388888888889,0.343055555555556,0.465416666666667
"low","Reference Prod.","ppnCUUpper","low",0.391666666666667,0.361111111111111,0.426458333333333
"low","Reference Prod.","ppnCUUpper","med",0.397222222222222,0.347222222222222,0.454166666666667
"low","Reference Prod.","ppnMixedOpen","high",0.7875,0.725,0.8375
"low","Reference Prod.","ppnMixedOpen","low",0.79375,0.75,0.84375
"low","Reference Prod.","ppnMixedOpen","med",0.7875,0.7375,0.84375
"low","Reference Prod.","medCatch","high",3.01478442049509,2.21470080895088,3.89747536128059
"low","Reference Prod.","medCatch","low",3.21760968596923,2.7033309557374,3.77874769559045
"low","Reference Prod.","medCatch","med",3.09580493650337,2.3710379944403,3.89242231547338
"low","Reference Prod.","ppnYrsHighCatch","high",0.925,0.85,0.95
"low","Reference Prod.","ppnYrsHighCatch","low",0.95,0.925,0.951249999999999
"low","Reference Prod.","ppnYrsHighCatch","med",0.925,0.875,0.95
"low","Reference Prod.","stabilityCatch","high",1.34796116495414,0.981847235848752,1.72575181166922
"low","Reference Prod.","stabilityCatch","low",1.67457173465929,1.26859445137031,2.12249085253428
"low","Reference Prod.","stabilityCatch","med",1.44225138191733,1.05613640890583,1.870707605078
"med","Reference Prod.","medRecRY","high",8.22268647184019,5.93020894647829,11.2407079583478
"med","Reference Prod.","medRecRY","low",9.22189429107334,7.5210737722305,11.1022336916182
"med","Reference Prod.","medRecRY","med",8.6647350390002,6.39547534392309,11.2167278566277
"med","Reference Prod.","ppnCUUpper","high",0.390277777777778,0.322152777777778,0.462569444444444
"med","Reference Prod.","ppnCUUpper","low",0.379166666666667,0.343055555555556,0.413958333333333
"med","Reference Prod.","ppnCUUpper","med",0.384722222222222,0.326388888888889,0.447222222222222
"med","Reference Prod.","ppnMixedOpen","high",0.76875,0.69375,0.83125
"med","Reference Prod.","ppnMixedOpen","low",0.7875,0.73125,0.83125
"med","Reference Prod.","ppnMixedOpen","med",0.775,0.7125,0.83125
"med","Reference Prod.","medCatch","high",3.01407954390438,2.04238857583648,4.06103075786861
"med","Reference Prod.","medCatch","low",3.29425090136238,2.70856033345748,4.06580946902922
"med","Reference Prod.","medCatch","med",3.14509869136333,2.24624432829322,4.10162688838179
"med","Reference Prod.","ppnYrsHighCatch","high",0.875,0.775,0.95
"med","Reference Prod.","ppnYrsHighCatch","low",0.95,0.9,0.975
"med","Reference Prod.","ppnYrsHighCatch","med",0.9,0.825,0.95
"med","Reference Prod.","stabilityCatch","high",1.11784538674623,0.810894420279831,1.48269748778216
"med","Reference Prod.","stabilityCatch","low",1.46383674056193,1.08131785296203,1.91943162944901
"med","Reference Prod.","stabilityCatch","med",1.22697865201113,0.872555562122184,1.61887136493766
"high","Reference Prod.","medRecRY","high",8.30696918305594,5.40173508454774,11.8576365868844
"high","Reference Prod.","medRecRY","low",9.75136481652202,7.61159494950492,11.9727470706974
"high","Reference Prod.","medRecRY","med",8.93960048439178,6.22274121440386,11.8290278348842
"high","Reference Prod.","ppnCUUpper","high",0.381944444444444,0.306875,0.458472222222222
"high","Reference Prod.","ppnCUUpper","low",0.369444444444444,0.333333333333333,0.406944444444444
"high","Reference Prod.","ppnCUUpper","med",0.375694444444444,0.315208333333334,0.443055555555556
"high","Reference Prod.","ppnMixedOpen","high",0.74375,0.6625,0.81875
"high","Reference Prod.","ppnMixedOpen","low",0.775,0.71875,0.825
"high","Reference Prod.","ppnMixedOpen","med",0.75625,0.6934375,0.81875
"high","Reference Prod.","medCatch","high",2.97334600546729,1.87005858791176,4.28445553927112
"high","Reference Prod.","medCatch","low",3.41617864338107,2.67763604826806,4.3502923944799
"high","Reference Prod.","medCatch","med",3.18940601484254,2.16551503346546,4.3048431923483
"high","Reference Prod.","ppnYrsHighCatch","high",0.85,0.725,0.925
"high","Reference Prod.","ppnYrsHighCatch","low",0.95,0.9,0.975
"high","Reference Prod.","ppnYrsHighCatch","med",0.9,0.775,0.95
"high","Reference Prod.","stabilityCatch","high",0.97601609254147,0.702335295056177,1.30170569473159
"high","Reference Prod.","stabilityCatch","low",1.32279864119254,0.988096257268408,1.73570508417017
"high","Reference Prod.","stabilityCatch","med",1.08806765691253,0.783491004715111,1.43951154641109
"low","Low Prod.","medRecRY","high",3.73252523752096,2.70299897537122,5.06960772791894
"low","Low Prod.","medRecRY","low",3.96343017582798,3.23084796153632,4.70979072109992
"low","Low Prod.","medRecRY","med",3.83842286985257,2.88587265585285,4.9573712378551
"low","Low Prod.","ppnCUUpper","high",0.209722222222222,0.155486111111112,0.277777777777778
"low","Low Prod.","ppnCUUpper","low",0.204166666666667,0.172152777777778,0.234791666666666
"low","Low Prod.","ppnCUUpper","med",0.206944444444444,0.156875,0.2625
"low","Low Prod.","ppnMixedOpen","high",0.5375,0.43125,0.64375
"low","Low Prod.","ppnMixedOpen","low",0.55625,0.4875,0.63125
"low","Low Prod.","ppnMixedOpen","med",0.54375,0.45,0.6375
"low","Low Prod.","medCatch","high",1.2482644554834,0.911495741055105,1.73395207889808
"low","Low Prod.","medCatch","low",1.32430753563128,1.07039108823723,1.58368788519959
"low","Low Prod.","medCatch","med",1.27780019556624,0.951901598070113,1.6890236249944
"low","Low Prod.","ppnYrsHighCatch","high",0.625,0.45,0.8
"low","Low Prod.","ppnYrsHighCatch","low",0.7,0.55,0.825
"low","Low Prod.","ppnYrsHighCatch","med",0.65,0.475,0.825
