"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"1","low","Reference Prod.","medRecRY","0.75","high",8.14790035487287,6.30235185666653,10.5665957659849
"2","low","Reference Prod.","medRecRY","0.05","low",8.79095443519724,7.31539026777546,10.226220482071
"3","low","Reference Prod.","medRecRY","0.5","med",8.48841843461037,6.58307922455616,10.4258741946351
"4","low","Reference Prod.","ppnCUUpper","0.75","high",0.394444444444444,0.337083333333333,0.471111111111111
"5","low","Reference Prod.","ppnCUUpper","0.05","low",0.386805555555556,0.359722222222222,0.426527777777778
"6","low","Reference Prod.","ppnCUUpper","0.5","med",0.390277777777778,0.346736111111111,0.448958333333333
"7","low","Reference Prod.","ppnMixedOpen","0.75","high",0.7875,0.7309375,0.84375
"8","low","Reference Prod.","ppnMixedOpen","0.05","low",0.796875,0.7559375,0.84375
"9","low","Reference Prod.","ppnMixedOpen","0.5","med",0.7875,0.7375,0.838125
"10","low","Reference Prod.","medCatch","0.75","high",2.95020104588973,2.26127433791503,3.84808269882467
"11","low","Reference Prod.","medCatch","0.05","low",3.1531654054133,2.68675073293764,3.69655153565277
"12","low","Reference Prod.","medCatch","0.5","med",3.05421691249739,2.34560563124403,3.80059790714104
"13","low","Reference Prod.","ppnYrsHighCatch","0.75","high",0.925,0.825,0.95
"14","low","Reference Prod.","ppnYrsHighCatch","0.05","low",0.95,0.925,0.95
"15","low","Reference Prod.","ppnYrsHighCatch","0.5","med",0.925,0.85,0.95
"16","low","Reference Prod.","stabilityCatch","0.75","high",1.33795838968448,0.968879886010257,1.74325077144259
"17","low","Reference Prod.","stabilityCatch","0.05","low",1.63099543507979,1.31193186649176,2.01485331957199
"18","low","Reference Prod.","stabilityCatch","0.5","med",1.43636062371315,1.02508166343862,1.82562772555228
"19","med","Reference Prod.","medRecRY","0.75","high",8.20353921922515,6.05427460811971,10.7757605367843
"20","med","Reference Prod.","medRecRY","0.05","low",9.13748574863414,7.51524231361954,11.0738620360142
"21","med","Reference Prod.","medRecRY","0.5","med",8.64035362882882,6.16680128233638,11.106266158863
"22","med","Reference Prod.","ppnCUUpper","0.75","high",0.384722222222222,0.317847222222223,0.469583333333333
"23","med","Reference Prod.","ppnCUUpper","0.05","low",0.372222222222222,0.341527777777778,0.413958333333333
"24","med","Reference Prod.","ppnCUUpper","0.5","med",0.376388888888889,0.323541666666667,0.445902777777777
"25","med","Reference Prod.","ppnMixedOpen","0.75","high",0.765625,0.699375,0.83125
"26","med","Reference Prod.","ppnMixedOpen","0.05","low",0.78125,0.7309375,0.8375
"27","med","Reference Prod.","ppnMixedOpen","0.5","med",0.76875,0.7184375,0.8253125
"28","med","Reference Prod.","medCatch","0.75","high",2.98497348183507,2.08619542929386,3.97045303765361
"29","med","Reference Prod.","medCatch","0.05","low",3.29056650310017,2.67247282782857,4.00515378525621
"30","med","Reference Prod.","medCatch","0.5","med",3.10725390233634,2.23895479329029,3.82025327180005
"31","med","Reference Prod.","ppnYrsHighCatch","0.75","high",0.875,0.775,0.95
"32","med","Reference Prod.","ppnYrsHighCatch","0.05","low",0.95,0.9,0.975
"33","med","Reference Prod.","ppnYrsHighCatch","0.5","med",0.9,0.8,0.95
"34","med","Reference Prod.","stabilityCatch","0.75","high",1.1132225215322,0.810539935109063,1.50091649099099
"35","med","Reference Prod.","stabilityCatch","0.05","low",1.43780308471116,1.0564296132907,1.85857462775468
"36","med","Reference Prod.","stabilityCatch","0.5","med",1.20429867359276,0.869958231250313,1.58900137208551
"37","high","Reference Prod.","medRecRY","0.75","high",8.23091136325026,5.75268308076528,11.3509978036444
"38","high","Reference Prod.","medRecRY","0.05","low",9.67567717675212,7.89864069996167,11.9253855801396
"39","high","Reference Prod.","medRecRY","0.5","med",8.75106777539854,6.08148646387671,11.6499353088465
"40","high","Reference Prod.","ppnCUUpper","0.75","high",0.372222222222222,0.305486111111112,0.456319444444445
"41","high","Reference Prod.","ppnCUUpper","0.05","low",0.361805555555555,0.330486111111112,0.401875
"42","high","Reference Prod.","ppnCUUpper","0.5","med",0.369444444444445,0.305208333333334,0.439027777777778
"43","high","Reference Prod.","ppnMixedOpen","0.75","high",0.7375,0.6625,0.81875
"44","high","Reference Prod.","ppnMixedOpen","0.05","low",0.775,0.7125,0.8253125
"45","high","Reference Prod.","ppnMixedOpen","0.5","med",0.75,0.6875,0.83125
"46","high","Reference Prod.","medCatch","0.75","high",2.94375099694713,1.93999808560191,4.23271536768126
"47","high","Reference Prod.","medCatch","0.05","low",3.38014256646477,2.72340224502639,4.20818307903436
"48","high","Reference Prod.","medCatch","0.5","med",3.11219625171316,2.1165535201867,4.19498833798157
"49","high","Reference Prod.","ppnYrsHighCatch","0.75","high",0.85,0.725,0.95
"50","high","Reference Prod.","ppnYrsHighCatch","0.05","low",0.95,0.875,0.975
"51","high","Reference Prod.","ppnYrsHighCatch","0.5","med",0.9,0.75,0.95
"52","high","Reference Prod.","stabilityCatch","0.75","high",0.972684029106545,0.71333528299882,1.29063668850802
"53","high","Reference Prod.","stabilityCatch","0.05","low",1.29470552946057,0.948002855407969,1.70192068943178
"54","high","Reference Prod.","stabilityCatch","0.5","med",1.0623242223524,0.789070732000953,1.39184378507091
"55","low","Low Prod.","medRecRY","0.75","high",3.68954510273552,2.84762378228455,5.28038178690577
"56","low","Low Prod.","medRecRY","0.05","low",3.92702468821715,3.23895730901127,4.70297907235105
"57","low","Low Prod.","medRecRY","0.5","med",3.81174095146218,2.91452517055467,4.94190315718267
