"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsCUsLower","ppnYrsCUsUpper","ppnFisheriesOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"lowSynch","TAM",0.05,1,"TAM",1,0.338063255521461,3.56538987877121,0.746861566175956,3.56538987877121,0.746861566175956,8.87011484903229,0.722965436882235,10.7036520461687,0.707455512981602,0,NA,8.87026788210845,0.722625320944583,3.16381059288419,3.55761192351191,0.647587819094944,1.54419210879782,3.55780192351191,0.647557558432596,1.54426426960483,2.90755860360297,0.332844489091345,0.360150493741723,1,0.9,0.875,0.075,0.90625,0.332894736842105,0.631578947368421,0.357894736842105,0.632894736842105,0.0526315789473684,0.473684210526316,0.0526315789473684,0.947368421052632,0.332894736842105,5.12953222270541,10.612114240383,3.71465571464449
"lowSynch","TAM",0.05,1,"TAM",2,0.335882989585266,3.85471900234738,0.63018582539572,3.85471900234738,0.63018582539572,8.31328295589923,0.633963984625384,8.60274335960586,0.774724056647696,0,NA,8.31342609362595,0.633605648350456,4.18931075480462,3.04533158412212,0.760736918680048,1.31451488082779,3.04552158412212,0.760700856950498,1.31457719662471,3.28578004181643,0.337211097066648,0.350743519439272,1,0.95,0.75,0.05,0.925,0.3,0.578947368421053,0.322368421052632,0.621052631578947,0,0.526315789473684,0,1,0.328947368421053,3.28209204515702,6.59114871046662,2.01776700066257
"lowSynch","TAM",0.05,1,"TAM",3,0.333279630484743,4.13297322591182,0.836103515403288,4.13297322591182,0.836103515403288,9.43414467438985,0.954426025280043,9.41873875131293,1.00373572643946,0,NA,9.43433467438985,0.953855733066362,3.90395119683794,3.28514260662384,0.920507377393688,1.08635739871133,3.28533260662384,0.920472630788704,1.08639840724341,2.83357772620789,0.336354281380171,0.337106468527107,1,0.95,0.9,0.1,0.91875,0.351315789473684,0.639473684210526,0.382894736842105,0.656578947368421,0.157894736842105,0.368421052631579,0,1,0.361842105263158,4.78581011189268,8.33816021442928,2.43082077721655
"lowSynch","TAM",0.05,1,"TAM",4,0.344930110179006,4.30415990574523,0.565855190604956,4.30415990574523,0.565855190604956,10.1141755771527,0.56447210771479,10.4071745041641,0.545019410275836,0,NA,10.1915718187696,0.564201640410925,4.08433123655983,3.43978349633931,0.683348065088291,1.46338308555947,3.43997349633931,0.683315821683323,1.46345213774875,3.58840382395193,0.338223250592133,0.349464561320893,1,0.95,0.775,0.05,0.95,0.338157894736842,0.588157894736842,0.381578947368421,0.632894736842105,0.105263157894737,0.473684210526316,0,1,0.356578947368421,2.62246039479377,4.96550311982144,1.70095291988363
"lowSynch","TAM",0.05,1,"TAM",5,0.338222704852717,5.67740159883948,0.563461991503129,5.67740159883948,0.563461991503129,14.0776828922166,0.606307815072588,11.1702951782308,0.724371212126096,0,NA,14.0778770115229,0.606850612605089,6.8966211721191,4.96672281719144,0.745019794297995,1.34224621634686,4.96691281719144,0.744992492657735,1.34229540546447,7.08650861407531,0.337806238116095,0.342746476570343,0.95,0.925,0.9,0.2,0.88125,0.369736842105263,0.626315789473684,0.397368421052632,0.661842105263158,0.105263157894737,0.368421052631579,0,1,0.417105263157895,3.01738129227122,6.17954203009935,2.24566890023392
"lowSynch","TAM",0.05,1,"TAM",6,0.32963920651323,4.23912970893845,0.79065205219013,4.23912970893845,0.79065205219013,10.2167418375167,0.966647033080786,9.77703727854537,1.00765333250468,0,NA,10.2176992663444,0.966418381167901,6.27528550714686,3.67760632152933,0.951839370203003,1.05059743408883,3.67779632152933,0.951801829718725,1.05063887121915,6.69245070770276,0.343096473643421,0.330149473727636,0.975,0.875,0.9,0.125,0.9125,0.351315789473684,0.66578947368421,0.396052631578947,0.706578947368421,0.157894736842105,0.473684210526316,0,1,0.440789473684211,3.9638906805502,8.72238837712194,3.4601516921406
"lowSynch","TAM",0.05,1,"TAM",7,0.344382426615863,4.60362484170244,0.705978515913881,4.60362484170244,0.705978515913881,10.1195459913536,0.735238986732116,8.46241045237816,0.801173332932679,0,NA,10.1201905521665,0.73519634945831,4.830524297972,3.4632918776743,0.73267822342828,1.36485563242332,3.4634818776743,0.732646501269424,1.36491472799958,4.12627973294613,0.355982285342004,0.333855386043644,1,0.9,0.875,0.05,0.90625,0.340789473684211,0.615789473684211,0.376315789473684,0.632894736842105,0,0.263157894736842,0,1,0.397368421052632,2.87752654005989,5.17273041003356,1.57276917540622
"lowSynch","TAM",0.05,1,"TAM",8,0.341557326585334,3.86102054514299,0.749365462052282,3.86102054514299,0.749365462052282,9.85883653482326,0.837974858961755,9.49403474575965,0.84686757287959,0,NA,9.86356834549866,0.837909819550501,5.22193570638571,3.70445272595557,0.99460870220547,1.00542052143981,3.70464272595557,0.994572522821809,1.00545709543915,5.08961959567129,0.362273911087283,0.367167685070307,1,0.95,0.85,0.1,0.93125,0.360526315789474,0.602631578947368,0.377631578947368,0.64078947368421,0.105263157894737,0.368421052631579,0,1,0.253947368421053,2.53827375032821,5.96934966622395,1.95168621004476
"lowSynch","TAM",0.05,1,"TAM",9,0.336336494521529,4.6481167792425,0.914762276169509,4.6481167792425,0.914762276169509,11.2075998706486,0.850439827956009,10.5884230498137,0.86147676520276,0,NA,11.2077948172925,0.849592455843911,4.19705813270545,3.74454967859487,0.858591146123821,1.16469870964146,3.74474957498963,0.858556572611671,1.16474561129742,3.99462728228173,0.347498200871156,0.354723425737212,1,0.95,0.825,0,0.9,0.309210526315789,0.576315789473684,0.356578947368421,0.575,0.105263157894737,0.421052631578947,0,1,0.371052631578947,2.96772867326474,7.91267212125095,2.70172304086208
"lowSynch","TAM",0.05,1,"TAM",10,0.322375282998818,3.44458975266076,0.838248161054986,3.44458975266076,0.838248161054986,6.90340084348853,0.825199188318636,8.44274041641047,0.809645842185813,0,NA,6.90358997137272,0.823729746008792,2.88980871111574,2.39154580568753,0.788708020263486,1.26789632450539,2.39173580568753,0.788664930859479,1.26796559713922,2.23837622644588,0.337773360147776,0.330040730308651,1,0.925,0.8,0.025,0.88125,0.315789473684211,0.590789473684211,0.367105263157895,0.626315789473684,0.105263157894737,0.368421052631579,0,1,0.411842105263158,1.7666575540068,5.23544305845058,1.91902633139775
