"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsCUsLower","ppnYrsCUsUpper","ppnFisheriesOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"lowSynch","TAM",0.05,1,"TAM",1,0.331825345154996,2.7919067134186,0.673596314586354,2.7919067134186,0.673596314586354,6.11027951073022,0.676916002908519,6.91764278596122,0.683247282518573,0,NA,6.11042355914176,0.676343118031529,2.23752004322518,2.38937189360795,0.657156665292257,1.52170715571342,2.38957183094379,0.657110638453476,1.5218137425891,1.82901709530967,0.328548841123778,0.34982495079029,0.975,0.9,0.65,0,0.89375,0.301315789473684,0.559210526315789,0.336842105263158,0.611842105263158,0.0526315789473684,0.315789473684211,0.0526315789473684,0.947368421052632,0.414473684210526,3.17516969091852,6.25277585015926,2.23433318294783
"lowSynch","TAM",0.05,1,"TAM",2,0.332243936085839,2.65926855974142,0.53496619010084,2.65926855974142,0.53496619010084,6.3023295696468,0.556274708145338,5.7487205781186,0.623635429442526,0,NA,6.30248756045441,0.555998389252244,3.05225085757002,2.17769099823568,0.653849576693806,1.52940375836367,2.17788099823568,0.653800375934014,1.52951885133349,2.34986497259053,0.33251753027681,0.346557639697053,1,0.875,0.4,0.025,0.90625,0.265789473684211,0.485526315789474,0.314473684210526,0.544736842105263,0,0.421052631578947,0,1,0.446052631578947,2.16479096681144,4.31986550360623,1.34747065640534
"lowSynch","TAM",0.05,1,"TAM",3,0.325765454532896,3.47623139701211,0.61179789394424,3.47623139701211,0.61179789394424,7.25669902337257,0.709902912618186,6.81642385413342,0.776199635234357,0,NA,7.26600559588864,0.709577259509822,2.67517084423579,2.66530766137383,0.727496453708963,1.37457714728607,2.66550756557967,0.727452632681834,1.37465995045394,2.10931066039157,0.325273322904269,0.349168529511735,1,0.925,0.7,0.1,0.89375,0.334210526315789,0.580263157894737,0.382894736842105,0.613157894736842,0.105263157894737,0.263157894736842,0.0526315789473684,0.947368421052632,0.452631578947368,3.13396042976142,5.40239245816567,1.57229061939023
"lowSynch","TAM",0.05,1,"TAM",4,0.338376637063362,3.34272013167655,0.529643761050939,3.34272013167655,0.529643761050939,6.71307176373413,0.539395894044592,6.686653144492,0.503180688189895,0,NA,6.71322651066601,0.539379290605101,4.30681445834207,2.35435924372285,0.620427049302871,1.61179304017068,2.35455423703698,0.62038131066971,1.61191187226528,2.4538571803226,0.340264969346018,0.347967532965711,1,0.9,0.575,0,0.90625,0.306578947368421,0.538157894736842,0.363157894736842,0.594736842105263,0.0526315789473684,0.315789473684211,0.0526315789473684,0.947368421052632,0.465789473684211,2.15126297361189,3.90189026672425,1.14925646400254
"lowSynch","TAM",0.05,1,"TAM",5,0.335895769302969,3.87771006885313,0.501256626817432,3.87771006885313,0.501256626817432,8.99870521022891,0.553441119880209,7.45452070269924,0.629943292620222,0,NA,8.99889578101997,0.553842545174793,4.42999973154306,2.98708155461714,0.716484991912803,1.39570264735106,2.98727650522235,0.716444159431338,1.3957821929817,4.43821280449032,0.337276070394644,0.356493042644258,0.95,0.925,0.75,0.125,0.925,0.343421052631579,0.586842105263158,0.368421052631579,0.638157894736842,0.157894736842105,0.368421052631579,0.0526315789473684,0.947368421052632,0.451315789473684,2.34522510993022,4.2486834456177,1.3635269764796
"lowSynch","TAM",0.05,1,"TAM",6,0.337483750541937,2.82831078772497,0.713738823799863,2.82831078772497,0.713738823799863,6.71708433619825,0.878495666067237,7.12648711149071,0.888876014736642,0,NA,6.71727433619825,0.878289368415589,3.79179576152599,2.27369609262602,0.873943707297032,1.14423845798128,2.27388609262602,0.873887913207139,1.14431151282323,3.56285079054436,0.343489727071911,0.327715701159698,0.95,0.85,0.55,0.05,0.90625,0.292105263157895,0.531578947368421,0.315789473684211,0.621052631578947,0.157894736842105,0.263157894736842,0,1,0.478947368421053,3.13038450031224,6.30410443475506,2.12576935479078
"lowSynch","TAM",0.05,1,"TAM",7,0.346744623246564,3.14022089388073,0.533274352368032,3.14022089388073,0.533274352368032,6.88375601593348,0.57066718893898,6.52318298815797,0.625744922131418,0,NA,6.8839559986609,0.571150471502607,4.08393484973366,2.45018105843558,0.58827663974245,1.69988051954231,2.45037604216755,0.588237977821728,1.69999224413059,2.75279159407331,0.351410198435433,0.340286911868761,1,0.875,0.65,0.025,0.875,0.318421052631579,0.548684210526316,0.347368421052632,0.607894736842105,0.0526315789473684,0.315789473684211,0,1,0.45,2.2865261937829,4.17430540535544,1.2373751242495
"lowSynch","TAM",0.05,1,"TAM",8,0.347889932253523,2.84313774754891,0.729372110337917,2.84313774754891,0.729372110337917,7.32871105642454,0.669799149651067,7.98143367152839,0.65005565174528,0,NA,7.32890105642454,0.669685899644419,3.71662766459406,2.76390396560028,0.775576528317738,1.2893634135229,2.76409396560028,0.775530658108866,1.28943967532954,3.22844613331183,0.357584907360351,0.355912103224622,1,0.925,0.625,0,0.9375,0.315789473684211,0.528947368421053,0.335526315789474,0.588157894736842,0,0.263157894736842,0,1,0.296052631578947,2.04348012881598,3.92299780083985,1.18595210772526
"lowSynch","TAM",0.05,1,"TAM",9,0.334487128744365,3.17693559743401,0.737349040373299,3.17693559743401,0.737349040373299,7.14222346875155,0.658339633976256,6.74593894298306,0.677314029134701,0,NA,7.14242246758425,0.657540096090052,3.10664384344858,2.52696864423932,0.715827196320238,1.39698520137342,2.5271685436443,0.715781597602384,1.39707419602522,3.59485883298887,0.335464066628866,0.350814185566791,0.975,0.925,0.4,0.025,0.86875,0.281578947368421,0.489473684210526,0.325,0.519736842105263,0,0.368421052631579,0.0526315789473684,0.947368421052632,0.472368421052632,2.05237067038763,5.16325809543364,1.78175037414596
"lowSynch","TAM",0.05,1,"TAM",10,0.326542396369136,2.57920710446169,0.695168958980067,2.57920710446169,0.695168958980067,4.73324130995419,0.711725396064563,5.20314146613217,0.689586722263894,0,NA,4.73343630241907,0.711396182863439,2.08223816122019,1.59378590021714,0.761536587073902,1.31313454530446,1.59397590021714,0.76147430357218,1.31324195092187,1.28928446806123,0.328151649627906,0.328896781602362,1,0.85,0.5,0.05,0.8625,0.273684210526316,0.509210526315789,0.317105263157895,0.596052631578947,0.0526315789473684,0.210526315789474,0.0526315789473684,0.947368421052632,0.489473684210526,1.6171824151373,3.93950060205995,1.44313704015393
