"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsCUsLower","ppnYrsCUsUpper","ppnFisheriesOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"lowSynch","TAM",0.05,1,"TAM",1,0.332780922862818,2.89284040719157,0.574936421360229,2.89284040719157,0.574936421360229,6.24030538523967,0.563070750622217,6.13969675571658,0.58775785801227,0,NA,6.25143561608608,0.562722635977995,4.37326353863213,1.93395026288335,0.586178630769153,1.70596461131286,1.93414026288335,0.586132844764255,1.70609787343039,2.89827221836067,0.324206770046462,0.334246857745135,1,0.95,0.575,0,0.90625,0.232894736842105,0.514473684210526,0.307894736842105,0.557894736842105,0.0526315789473684,0.315789473684211,0.0526315789473684,0.947368421052632,0.457894736842105,2.31548603135087,4.540866666283,1.48826737017069
"lowSynch","TAM",0.05,1,"TAM",2,0.333742570472424,2.80541928380177,0.632259271476503,2.80541928380177,0.632259271476503,6.52816200702579,0.63319903132586,6.03613686151673,0.79119765659457,0,NA,6.52832967179488,0.633145802322526,3.19034567444314,2.43037326903815,0.677374535607118,1.47628814995787,2.43056821904418,0.677325364397604,1.4763953227846,2.77781382577317,0.345574139142642,0.35578234903132,1,0.8,0.65,0,0.9,0.261842105263158,0.551315789473684,0.331578947368421,0.578947368421053,0.105263157894737,0.368421052631579,0.0526315789473684,0.947368421052632,0.425,2.13570757050699,4.81891192999955,1.76653762102548
"lowSynch","TAM",0.05,1,"TAM",3,0.340212622412105,2.82179183883641,0.808803161181074,2.82179183883641,0.808803161181074,5.87903805307975,0.772799264013877,6.46564696277777,0.847119923649764,0,5.8309518948453,5.87920379738105,0.772783225289455,2.84604237833685,2.37845475414812,0.821469556549944,1.21733056572402,2.37864475414812,0.821420878068446,1.21740270633427,2.68275064507968,0.33923894000879,0.359675833462107,1,0.9,0.7,0,0.93125,0.247368421052632,0.576315789473684,0.309210526315789,0.615789473684211,0.105263157894737,0.368421052631579,0,1,0.343421052631579,2.39880325147965,4.41276131583336,1.45331990532364
"lowSynch","TAM",0.05,1,"TAM",4,0.330530815706122,2.92567788618161,0.715976521022697,2.92567788618161,0.715976521022697,7.00677100186212,0.639633190098389,7.35582138593709,0.719746646774478,0,NA,7.00686721555957,0.638450583274937,2.4480843024946,2.25589801627931,0.602943701785332,1.65852963890156,2.25609296506096,0.602902219110545,1.65864375399926,2.27703774857635,0.341567332009768,0.339421981108874,0.975,0.925,0.8,0,0.925,0.294736842105263,0.569736842105263,0.372368421052632,0.622368421052632,0,0.368421052631579,0.0526315789473684,0.947368421052632,0.414473684210526,3.1684467110518,7.72727652738555,2.27119306279376
"lowSynch","TAM",0.05,1,"TAM",5,0.313501747319853,3.02050145403725,0.667578204005037,3.02050145403725,0.667578204005037,7.04234459629789,0.86994299422531,6.70017427309428,0.944940027194979,0,NA,7.04253282378616,0.870096442360048,2.4953535590363,2.32729159461351,0.744737869815012,1.34275433079346,2.32749155292558,0.744681809887297,1.34285541384628,2.41847001152323,0.311682039230579,0.345111268894072,1,0.8,0.775,0,0.90625,0.269736842105263,0.597368421052632,0.352631578947368,0.634210526315789,0,0.368421052631579,0.0526315789473684,0.947368421052632,0.498684210526316,2.6441423368568,6.06039259805971,1.53824111158697
"lowSynch","TAM",0.05,1,"TAM",6,0.339302233214577,3.23444274083559,0.623044648592148,3.23444274083559,0.623044648592148,7.24516176018501,0.663801836501072,6.55520974795096,0.693534754004492,0,NA,7.25759600248979,0.6635787062835,3.11925568885537,2.65509558056851,0.75648863850665,1.32189691833846,2.65529055759205,0.756442197676632,1.32197807455935,2.22402120453407,0.350481698150252,0.366026221829619,0.975,0.9,0.875,0.025,0.91875,0.298684210526316,0.610526315789474,0.405263157894737,0.627631578947368,0.0526315789473684,0.421052631578947,0.0526315789473684,0.947368421052632,0.481578947368421,2.15325647132548,4.15717485476883,1.29363385645621
"lowSynch","TAM",0.05,1,"TAM",7,0.323051600052229,2.53773704617232,0.739910351132499,2.53773704617232,0.739910351132499,4.98436780693919,0.797633497342714,4.54859363802887,0.824040111955066,0,NA,4.98451858650474,0.797273804802692,2.90050629175388,1.66452740186099,0.897111598090994,1.11468852050062,1.66472737642468,0.897041801601461,1.11477525151529,1.66137406382748,0.336570628126335,0.338840322250931,0.925,0.825,0.35,0,0.9,0.218421052631579,0.481578947368421,0.280263157894737,0.496052631578947,0,0.368421052631579,0.0526315789473684,0.947368421052632,0.521052631578947,1.75946493442028,3.76428890408527,1.20520013518711
"lowSynch","TAM",0.05,1,"TAM",8,0.330801166481367,3.77982890340315,0.566681504911131,3.77982890340315,0.566681504911131,7.75173874149367,0.681064641084859,7.45078606392145,0.733864727197392,0,NA,7.75190705488997,0.68065563878013,4.07215124183158,2.65005178322392,0.633244089222842,1.57916989201947,2.65025173511318,0.633202019499243,1.57927481152197,2.71612882481212,0.348382787190617,0.36069762611218,1,0.9,0.825,0.025,0.88125,0.272368421052632,0.593421052631579,0.360526315789474,0.611842105263158,0,0.368421052631579,0.0526315789473684,0.947368421052632,0.406578947368421,2.30335066161967,4.83143717181637,1.67599834248165
"lowSynch","TAM",0.05,1,"TAM",9,0.33912225762372,3.11651574135124,0.559762125187624,3.11651574135124,0.559762125187624,5.99759341651715,0.611935461933158,7.01300380805253,0.566543350490419,0,NA,5.99776169807557,0.611637119485543,3.21117133111473,2.28039721438371,0.634040484176051,1.57718635474755,2.28058721438371,0.633997586421347,1.57729307085313,2.73907708421279,0.346213634495637,0.327894036729765,1,0.925,0.675,0.025,0.90625,0.271052631578947,0.568421052631579,0.323684210526316,0.571052631578947,0.0526315789473684,0.315789473684211,0.0526315789473684,0.947368421052632,0.472368421052632,1.63686277212039,3.63049492722527,1.43661598176163
"lowSynch","TAM",0.05,1,"TAM",10,0.341744129218777,2.88225803444005,0.656506078732648,2.88225803444005,0.656506078732648,6.39703141755245,0.699637683612709,6.61866100795288,0.701215464731317,0,NA,6.4158163584979,0.699139071697445,2.99336650108624,2.56840017393267,0.770041980967255,1.29863049640994,2.56859515672944,0.769993147219002,1.29871285687635,2.68406335799654,0.351559235285274,0.333021794290158,1,0.9,0.825,0.05,0.8875,0.284210526315789,0.596052631578947,0.346052631578947,0.621052631578947,0.0526315789473684,0.421052631578947,0.0526315789473684,0.947368421052632,0.494736842105263,1.98873716015146,5.27219886865361,1.96073300384749
