"CU","alpha","beta0","sigma","deviance","stk"
"xx","1.38439317081626","1.91898669796679","0.775351747484129","150.319507316503","pooledEStu"
"xx","1.44026631486644","2.85015629382953","0.791234660527822","152.857294144656","pooledEStu"
"xx","1.36442423291127","1.71030569863046","0.874782984413711","151.1000785967","pooledEStu"
"xx","1.40101040618571","3.04306247358056","1.02926790793743","159.69676549273","pooledEStu"
"xx","1.37407287553936","1.46708585130113","0.753182206262266","150.50534468138","pooledEStu"
"xx","1.47671888005166","1.56677807956031","0.759037370086266","151.920514753602","pooledEStu"
"xx","1.4698547711511","1.57697425457723","1.04135334410065","158.439319252708","pooledEStu"
"xx","1.41338339637629","1.70459488651809","0.935860183017537","153.164536751593","pooledEStu"
"xx","1.42393176586365","1.74906394040071","0.743302347913564","151.002099102698","pooledEStu"
"xx","1.52294991942199","3.42681282080629","0.908999051977246","156.385427091152","pooledEStu"
"xx","1.45203621969346","1.77278918713451","0.732093691668729","151.743764090713","pooledEStu"
"xx","1.23976780751264","1.70965229822472","0.696991380573649","154.613764268031","pooledEStu"
"xx","1.27621350520624","1.58784845846375","0.724778799430995","151.96043586489","pooledEStu"
"xx","1.32756280822713","1.62289395488297","0.877746762085529","151.233749939119","pooledEStu"
"xx","1.35901545466911","1.48343446103446","0.793855364535983","150.029069234746","pooledEStu"
"xx","1.39409306165465","1.49616698556646","0.885910907489428","151.529937537539","pooledEStu"
"xx","1.33199587924939","1.74320277575634","0.950402084293189","153.693652398349","pooledEStu"
"xx","1.25674527545238","2.07840683480694","0.830950997449323","152.564617807841","pooledEStu"
"xx","1.24326384779512","1.56668046734273","0.786995401412252","151.289160831749","pooledEStu"
"xx","1.39435521305657","2.57863317684543","0.824214275290512","152.001510910606","pooledEStu"
"xx","1.4213101344531","2.41190515707921","0.846784057817285","151.531184199301","pooledEStu"
"xx","1.40948164295988","2.15378485728196","0.811270254680901","150.609674002879","pooledEStu"
"xx","1.38549786155876","2.14004663269049","0.919460370101599","152.84987316972","pooledEStu"
"xx","1.37535046589325","1.93225722986935","0.790130424833876","150.263462398295","pooledEStu"
"xx","1.26231329912245","1.83852592394468","0.705608335611054","153.898845697822","pooledEStu"
"xx","1.24404943521764","1.9885845388279","0.767293432043655","152.900702151657","pooledEStu"
"xx","1.46289982228425","2.49390619756691","0.866536214719528","152.114202333589","pooledEStu"
"xx","1.40477053550381","2.77338348733528","0.73126324898585","154.238642345825","pooledEStu"
"xx","1.40301711864012","1.66880606827765","0.78524585162371","150.203814312553","pooledEStu"
