"CU","alpha","beta0","sigma","deviance","stk"
"xx","1.99458720479786","0.549805565700896","0.80050681714617","133.156739916325","pooledSumm"
"xx","1.75800339033945","0.290565175312133","0.803693233667175","131.380433266867","pooledSumm"
"xx","1.64313144682771","0.296280885730261","0.722113368221337","127.609778481438","pooledSumm"
"xx","1.83551362545515","0.472065079514252","0.603124605724628","129.037668134637","pooledSumm"
"xx","1.79073500128169","0.306805665045497","0.653283862935484","128.53399306665","pooledSumm"
"xx","1.58165278200457","0.295263337347069","0.712720938680876","128.278666110532","pooledSumm"
"xx","1.76912597829028","0.354697281152594","0.726511971937721","126.872901284457","pooledSumm"
"xx","1.64288333988938","0.297230298002411","0.713454513698097","127.418173480757","pooledSumm"
"xx","1.71149581933899","0.43958628611746","0.700950738731355","128.238129632052","pooledSumm"
"xx","1.82411610722539","0.396749003097244","0.699276623894161","126.359768416634","pooledSumm"
"xx","1.69865129617495","0.298851156089106","0.694574436454756","127.091595771676","pooledSumm"
"xx","1.88964586678221","0.419886213335612","0.649668632426868","127.269596978029","pooledSumm"
"xx","1.60794086971272","0.262933528166119","0.748193425957601","129.213249588489","pooledSumm"
"xx","1.76997929268082","0.385600302934238","0.653132343128997","125.845099393687","pooledSumm"
"xx","1.57851763071713","0.226545544486664","0.61991174837743","131.17639720007","pooledSumm"
"xx","1.77406187439897","0.353936819104575","0.648426209273327","126.263866542633","pooledSumm"
"xx","1.79803380373431","0.348023007098438","0.76527723563976","128.597154372235","pooledSumm"
"xx","1.60163697336993","0.395682415044955","0.649820728736992","130.42072236733","pooledSumm"
"xx","1.8719837767702","0.35742867073146","0.597283265499277","130.759065820595","pooledSumm"
"xx","1.83912000137158","0.40808347586103","0.857117881823193","132.691258331948","pooledSumm"
"xx","1.80954546542136","0.356889896909447","0.635433095421097","127.035064353893","pooledSumm"
"xx","1.75623274427673","0.33394090223866","0.681799235791623","126.458673665545","pooledSumm"
"xx","1.56281340420364","0.260422342365996","0.767783791963658","130.330579280497","pooledSumm"
"xx","1.73742849923331","0.226489738805511","0.762388962208128","133.068216346824","pooledSumm"
"xx","1.68044146741469","0.297129917074448","0.652748248271839","127.069303967215","pooledSumm"
"xx","1.8152450766931","0.398654456924633","0.633848809924928","126.378830073759","pooledSumm"
"xx","1.66374030122911","0.401563027329927","0.667533498007228","127.84736835562","pooledSumm"
"xx","1.81394132367238","0.467736565346224","0.71713781901632","127.754524731495","pooledSumm"
"xx","1.6122074975485","0.317712778879488","0.732082569538017","128.072922148257","pooledSumm"
"xx","1.59376695504975","0.264575351242413","0.596888013513351","130.570225933558","pooledSumm"
"xx","1.72102366325497","0.3120304466984","0.845061966723516","132.316698670503","pooledSumm"
"xx","1.66331931666931","0.290213701948123","0.648696237162617","127.325245052526","pooledSumm"
"xx","1.7118409854462","0.339336760286184","0.785499940834778","128.948547111675","pooledSumm"
"xx","1.69217485653643","0.370197479036174","0.623231494579466","126.920395780601","pooledSumm"
"xx","1.36444723698605","0.201678642436462","0.66580458624048","136.987375385977","pooledSumm"
"xx","1.70118406970814","0.386068615354551","0.563815616615341","130.56786932656","pooledSumm"
"xx","1.8120924501368","0.336469860407795","0.668298879347342","127.460931163666","pooledSumm"
"xx","1.5182572582379","0.26508415792389","0.797525981714842","132.21148788817","pooledSumm"
"xx","1.73867531830406","0.405267203571251","0.851525897518246","132.35884010622","pooledSumm"
"xx","1.64553281276704","0.314609076182417","0.630308260576981","127.30310805501","pooledSumm"
"xx","1.53434861677316","0.278334241080106","0.807220852852193","132.229145085227","pooledSumm"
"xx","1.85808367354595","0.547721593950227","0.638957422922502","132.374890787897","pooledSumm"
"xx","1.94356794333702","0.484807348541697","0.672246323462035","128.349361940547","pooledSumm"
"xx","1.64325183331898","0.383030502003813","0.740565727265538","128.664253164596","pooledSumm"
"xx","2.00070060453325","0.555324248174689","0.837772806055319","134.937923577756","pooledSumm"
"xx","1.85846337100564","0.443793841581673","0.632814541876078","127.068312677967","pooledSumm"
"xx","1.55440452954771","0.260796242086055","0.656665415529012","129.153656428227","pooledSumm"
"xx","1.81222039137051","0.252681910501036","0.74308401245329","133.389427126031","pooledSumm"
"xx","1.78456178861437","0.405115659494758","0.684279233470984","125.964786813561","pooledSumm"
"xx","1.70246409247358","0.318778321962475","0.56798105293052","130.256621029089","pooledSumm"
"xx","1.99037503691231","0.471717250106029","0.786916757647902","131.593907039778","pooledSumm"
"xx","1.82377714685239","0.355655290616897","0.799168925263062","130.226861584281","pooledSumm"
"xx","1.80497148767442","0.45354489233133","0.6694210529558","126.882047670003","pooledSumm"
"xx","1.7822017869523","0.424554306638128","0.680608871118221","126.252584552445","pooledSumm"
"xx","1.48666985023436","0.24629052257815","0.807024840248747","133.406977558953","pooledSumm"
"xx","1.64830542798269","0.225490189383042","0.731550113571082","130.508171638677","pooledSumm"
"xx","1.67737016683776","0.285111194850543","0.679825444516924","127.34656393357","pooledSumm"
"xx","1.76320420938255","0.319597638005414","0.705643986889303","127.287141509189","pooledSumm"
"xx","1.60960872510652","0.238555787393336","0.693992595770634","129.117876814162","pooledSumm"
"xx","1.79680630058172","0.257456376667188","0.787145342031273","133.524077516419","pooledSumm"
"xx","1.68937665575939","0.362418692915712","0.687710411474954","126.283781993384","pooledSumm"
"xx","1.75281399936681","0.257098973013302","0.666921921434543","130.552943753402","pooledSumm"
"xx","1.70285701157301","0.232777033527907","0.636266915920013","131.724128841874","pooledSumm"
"xx","1.75030718617011","0.452739388542138","0.760179835157871","129.260784800245","pooledSumm"
"xx","1.87631667098017","0.426867992061535","0.777327783318832","129.126702754055","pooledSumm"
"xx","1.69677101604859","0.296755046310182","0.702024551498209","127.238656577792","pooledSumm"
"xx","1.8463451816486","0.291777286343386","0.731789852391056","131.694418762181","pooledSumm"
"xx","1.86384065580928","0.40949005342419","0.648386126971452","126.814059835324","pooledSumm"
"xx","1.820495390631","0.428750135129915","0.637843247268769","126.505965637575","pooledSumm"
"xx","1.6324806266041","0.291573081917307","0.631299413815863","127.812454835168","pooledSumm"
"xx","2.03885801274978","0.487675456234213","0.675362104071624","131.362017503911","pooledSumm"
"xx","1.7702328250089","0.227082183521994","0.706207527641251","133.551936283097","pooledSumm"
"xx","1.54861458495303","0.267048936989403","0.692287622666777","128.989468236282","pooledSumm"
"xx","1.64556226721657","0.298511820272073","0.702823977460982","127.202164869866","pooledSumm"
"xx","1.61941462475404","0.285626668843439","0.620720481686782","128.444084686171","pooledSumm"
"xx","1.83800727031909","0.38359327251008","0.609612590821792","127.777233840842","pooledSumm"
"xx","1.66893540861967","0.425741510517107","0.764372525025445","130.245890828313","pooledSumm"
"xx","1.66210623368932","0.291473511347673","0.706064388739184","127.347590553768","pooledSumm"
"xx","1.64552214460823","0.350461268343442","0.738364823774243","127.859315883782","pooledSumm"
"xx","1.87912798213221","0.399165168476221","0.560441956897675","132.043378226476","pooledSumm"
"xx","1.6718430730043","0.370247359419996","0.637320401919317","126.980282025565","pooledSumm"
"xx","1.6271935402219","0.347737176699806","0.566536077067538","131.579922954755","pooledSumm"
"xx","1.7000816997877","0.323859160052661","0.664008545518034","126.316653706026","pooledSumm"
"xx","1.77816257683337","0.401861873869254","0.65997788438491","125.886086047661","pooledSumm"
"xx","1.88613359171656","0.399097487836094","0.587932335877233","130.029902279039","pooledSumm"
"xx","1.71192680064974","0.353982846474202","0.604252034889444","127.284774165398","pooledSumm"
